stamp,flow_imu_dt,flow_gt_dt,flow_x,flow_y,gyro_x,gyro_y,tof_raw,tof_noise,tof_meas,pz_meas,vx_body_raw,vy_body_raw,vx_noise_std,vy_noise_std,vx_noise,vy_noise,vx_body_meas,vy_body_meas,gt_vx_body,gt_vy_body,est_vx_body,est_vy_body,meas_minus_gt_vx,meas_minus_gt_vy,meas_minus_est_vx,meas_minus_est_vy,velocity_update_accepted,velocity_nis,attitude_update_enabled,recovery_update,dtheta_x,dtheta_y,dtheta_z,height_update_accepted
53.289097833,-0.036000000,-0.016000000,-0.000010536,0.000000000,0.000000000,0.000000000,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,0.001933602,-0.021583463,0.001933602,-0.021583463,0.002088897,-0.005068865,0.002449956,-0.003437992,-0.000155295,-0.016514598,-0.000516354,-0.018145471,1,0.000164729,0,0,-0.000000000,-0.000000000,-0.000000000,1
53.393100743,-0.032000000,-0.016000000,-0.000010536,0.000000000,0.000000000,0.000000000,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,-0.018731118,0.017114600,-0.018731118,0.017114600,0.001684298,-0.006976913,0.001933705,-0.021579834,-0.020415416,0.024091513,-0.020664823,0.038694435,1,2.405608242,0,0,0.000000000,0.000000000,0.000000000,1
53.497097653,-0.032000000,-0.016000000,-0.000010536,0.000000000,-0.001048248,0.000777276,0.200000003,0.000000000,0.000000000,-0.032221347,0.000000000,0.000000000,0.020000000,0.020000000,0.004161293,-0.005041110,0.004161293,-0.005041110,0.002416049,-0.007694564,-0.007992966,-0.001238493,0.001745243,0.002653454,0.012154259,-0.003802617,1,0.064068624,0,0,0.000000000,0.000000000,0.000000000,1
53.605100562,-0.020000000,-0.004000000,-0.000010536,0.000000000,0.000402270,0.000813988,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,0.001482522,0.023482616,0.001482522,0.023482616,0.001357047,-0.008705728,0.003289560,-0.004073989,0.000125475,0.032188343,-0.001807038,0.027556605,1,0.199750521,0,0,0.000000000,0.000000000,0.000000000,1
53.705082379,-0.024000000,-0.000003092,-0.000010536,0.000000000,-0.000510512,0.000799593,0.200000003,0.000000000,0.000000000,-0.032221347,0.000000000,0.000000000,0.020000000,0.020000000,0.001742153,-0.018482567,0.001742153,-0.018482567,0.001419197,-0.009062375,0.002711647,0.022002459,0.000322956,-0.009420193,-0.000969494,-0.040485026,1,0.399281700,0,0,-0.000000000,-0.000000000,-0.000000000,1
53.809085286,-0.016000000,0.000002907,-0.000010536,0.000000000,-0.001283153,-0.000971038,0.200000003,0.000000000,0.000000000,-0.032221347,0.000000000,-0.000000000,0.020000000,0.020000000,-0.006207956,0.025559288,-0.006207956,0.025559288,0.001543858,-0.010150739,0.001894545,-0.012939056,-0.007751814,0.035710027,-0.008102501,0.038498345,1,0.424464379,0,0,0.000000000,0.000000000,0.000000000,1
53.913091100,-0.012000000,0.008005814,-0.000010537,0.000000000,0.000535131,0.000755652,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,0.015590777,-0.003083516,0.015590777,-0.003083516,0.000856833,-0.010361744,-0.005539814,0.021324302,0.014733944,0.007278228,0.021130591,-0.024407818,1,0.267727331,0,0,0.000000000,0.000000000,0.000000000,1
54.017082006,-0.008000000,0.007990906,-0.000010537,0.000000000,-0.000993103,-0.001772332,0.200000003,0.000000000,0.000000000,-0.032221347,0.000000000,-0.000000000,0.020000000,0.020000000,-0.001390626,-0.013443440,-0.001390626,-0.013443440,0.000795145,-0.010275917,0.014406602,-0.000912968,-0.002185772,-0.003167523,-0.015797228,-0.012530472,1,0.104534303,0,0,-0.000000000,-0.000000000,-0.000000000,1
54.121084911,-0.004000000,0.016002905,-0.000010537,0.000000000,0.000651717,0.000649091,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,0.029899246,-0.013540356,0.029899246,-0.013540356,0.000886711,-0.011214459,-0.000493789,-0.012105991,0.029012534,-0.002325898,0.030393034,-0.001434365,1,0.237667648,0,0,0.000000000,0.000000000,0.000000000,1
54.225075817,0.000000000,0.015990906,-0.000010537,0.000000000,0.000616351,0.000784148,0.200000003,0.000000000,0.000000000,-0.032221347,-0.000000000,0.000000000,0.020000000,0.020000000,0.000173748,0.021993890,0.000173748,0.021993890,0.000412971,-0.011355160,0.026830673,-0.011870669,-0.000239223,0.033349050,-0.026656925,0.033864559,1,0.477934313,0,0,0.000000000,0.000000000,0.000000000,1
