stamp,flow_imu_dt,flow_gt_dt,flow_x,flow_y,gyro_x,gyro_y,tof_raw,tof_noise,tof_meas,pz_meas,vx_body_raw,vy_body_raw,vx_noise_std,vy_noise_std,vx_noise,vy_noise,vx_body_meas,vy_body_meas,gt_vx_body,gt_vy_body,est_vx_body,est_vy_body,meas_minus_gt_vx,meas_minus_gt_vy,meas_minus_est_vx,meas_minus_est_vy,velocity_update_accepted,velocity_nis,attitude_update_enabled,recovery_update,dtheta_x,dtheta_y,dtheta_z,height_update_accepted
53.308692213,-0.020000000,0.015999541,-0.000010537,0.000000000,0.000000000,0.000000000,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,0.011855027,-0.012273145,0.011855027,-0.012273145,0.000073997,-0.009886476,0.001010289,-0.009727376,0.011781030,-0.002386669,0.010844738,-0.002545769,1,0.000062032,0,0,0.000000000,0.000000000,0.000000000,1
53.412694757,-0.016000000,0.016002544,-0.000010537,0.000000000,0.000000000,0.000000000,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,0.046796264,0.000750017,0.046796264,0.000750017,-0.000267888,-0.009957355,0.011852859,-0.012272636,0.047064152,0.010707371,0.034943405,0.013022652,1,1.738462627,0,0,0.000000000,0.000000000,0.000000000,1
53.516691306,-0.012000000,0.015996549,-0.000010537,0.000000000,0.000000000,0.000000000,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,0.038341537,0.028857481,0.038341537,0.028857481,-0.000666535,-0.011073694,0.029322815,-0.005761960,0.039008072,0.039931175,0.009018722,0.034619441,1,2.133142889,0,0,0.000000000,0.000000000,0.000000000,1
53.624693859,0.000000000,0.028002553,-0.000010537,0.000000000,0.000286998,0.000070485,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,-0.024406749,0.026034514,-0.024406749,0.026034514,-0.001275655,-0.011051950,0.031851309,0.007209550,-0.023131094,0.037086464,-0.056258057,0.018824964,1,3.629307419,0,0,0.000000000,0.000000000,0.000000000,1
53.724690417,-0.004000000,0.031996558,-0.000010537,0.000000000,0.000553314,0.000336801,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,0.014048990,0.006117924,0.014048990,0.006117924,-0.002074012,-0.010474785,-0.004580822,0.018553885,0.016123002,0.016592709,0.018629812,-0.012435961,1,0.112781183,0,0,0.000000000,0.000000000,0.000000000,1
53.776680978,-0.052000000,-0.020000000,-0.000010537,0.000000000,-0.000245634,-0.000728463,0.200000003,0.000000000,0.000000000,-0.002115181,0.000000000,-0.000000000,0.020000000,0.020000000,0.010965689,0.037420909,0.010965689,0.037420909,-0.003300779,-0.009735430,0.011448808,0.009082795,0.014266468,0.047156339,-0.000483119,0.028338114,1,0.207077214,0,0,0.000000000,0.000000000,0.000000000,1
53.880680113,-0.048000000,-0.011997430,-0.000010537,0.000000000,-0.000511950,0.000070485,0.200000003,0.000000000,0.000000000,-0.002115181,0.000000000,0.000000000,0.020000000,0.020000000,0.008025563,-0.023630027,0.008025563,-0.023630027,-0.002872780,-0.009746802,0.010901245,0.035948437,0.010898343,-0.013883225,-0.002875682,-0.059578464,1,0.917218162,0,0,-0.000000000,-0.000000000,-0.000000000,1
53.984676687,-0.044000000,-0.012000000,-0.000010537,0.000000000,-0.000517781,0.000069501,0.200000003,0.000000000,0.000000000,-0.002115181,0.000000000,0.000000000,0.020000000,0.020000000,0.013109829,-0.016032872,0.013109829,-0.016032872,-0.003898784,-0.011637962,0.007295128,-0.017646114,0.017008614,-0.004394910,0.005814701,0.001613241,1,0.009390617,0,0,0.000000000,0.000000000,0.000000000,1
54.088673265,-0.040000000,-0.004000000,-0.000010537,0.000000000,0.000547484,0.000069501,0.200000003,0.000000000,0.000000000,-0.002115181,-0.000000000,0.000000000,0.020000000,0.020000000,0.031761023,-0.036411416,0.031761023,-0.036411416,-0.003473279,-0.013394953,0.013292668,-0.015755436,0.035234302,-0.023016463,0.018468355,-0.020655980,1,0.197966006,0,0,0.000000000,0.000000000,0.000000000,1
54.192675847,-0.036000000,-0.004000000,-0.000010537,0.000000000,-0.000784097,-0.000196816,0.200000003,0.000000000,0.000000000,-0.002115181,0.000000000,-0.000000000,0.020000000,0.020000000,-0.023907378,-0.002759872,-0.023907378,-0.002759872,-0.004413812,-0.012988927,0.025715327,-0.033237168,-0.019493566,0.010229055,-0.049622705,0.030477295,1,0.873900152,0,0,0.000000000,0.000000000,0.000000000,1
