stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
38.826666667,pre,1,0,-0.016666667,nan,0.015333333,-2.000000326,0.000000000,-0.000001464,-1.957160768,-0.079549379,0.281864825,2.051743031,1.978952792,0.072790239,nan,nan,nan,nan,nan,nan,nan,nan,0.827877941,nan,nan,0.000000000,0,0,0
38.826666667,pre,1,2,-0.016666667,nan,0.033333333,-0.000000163,1.999999999,-0.000000732,0.036302323,1.972733556,0.061150573,2.032534122,1.974014927,0.058519195,nan,nan,nan,nan,nan,nan,nan,nan,0.535077529,nan,nan,0.000000000,0,0,0
38.826666667,pre,1,3,-0.016666667,nan,-0.048666667,-2.000000488,1.999999999,-0.000002196,-2.000777645,1.772518353,0.114515809,2.758454084,2.675452554,0.083001530,nan,nan,nan,nan,nan,nan,nan,nan,1.076445941,nan,nan,0.000000000,0,0,0
38.826666667,post,1,0,-0.016666667,nan,0.015333333,-2.000000326,0.000000000,-0.000001464,-2.012338549,-0.027690499,0.399219542,2.051743031,2.051743025,0.000000006,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000,nan,nan,0.000000000,0,0,0
38.826666667,post,1,2,-0.016666667,nan,0.033333333,-0.000000163,1.999999999,-0.000000732,-0.018875458,2.024592435,0.178505290,2.032534122,2.032534120,0.000000002,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000,nan,nan,0.000000000,0,0,0
38.826666667,post,1,3,-0.016666667,nan,-0.048666667,-2.000000488,1.999999999,-0.000002196,-2.055955426,1.824377233,0.231870525,2.758454084,2.758454086,-0.000000001,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000,nan,nan,0.000000000,0,0,0
38.926000000,pre,1,0,0.004000000,nan,0.014000000,-2.000000326,0.000000000,-0.000001464,-1.986051627,-0.076080137,0.448868281,2.027998447,2.037565210,-0.009566762,nan,nan,nan,nan,nan,nan,nan,nan,0.014300460,nan,nan,0.916091059,0,0,0
38.926000000,pre,1,2,0.004000000,nan,0.034000000,-0.000000163,2.000000001,-0.000000732,-0.030204185,2.013652021,0.193553808,2.012014151,2.023158380,-0.011144229,nan,nan,nan,nan,nan,nan,nan,nan,0.019405288,nan,nan,0.916091059,0,0,0
38.926000000,pre,1,3,0.004000000,nan,-0.048000000,-2.000000488,2.000000001,-0.000002196,-2.068841117,1.752895449,0.220761780,2.806480169,2.720566446,0.085913723,nan,nan,nan,nan,nan,nan,nan,nan,1.153307477,nan,nan,0.916091059,0,0,0
38.926000000,post,1,0,0.004000000,nan,0.014000000,-2.000000326,0.000000000,-0.000001464,-2.027849537,-0.053207940,0.346406076,2.027998447,2.057912049,-0.029913601,nan,nan,nan,nan,nan,nan,nan,nan,0.139816177,nan,nan,0.043281917,0,0,0
38.926000000,post,1,2,0.004000000,nan,0.034000000,-0.000000163,2.000000001,-0.000000732,-0.072002096,2.036524218,0.091091604,2.012014151,2.039831579,-0.027817428,nan,nan,nan,nan,nan,nan,nan,nan,0.120907707,nan,nan,0.043281917,0,0,0
