stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
62.000000000,0,1,2.063244104,0.018370825,0.504067636,2.009572324,0.047882660,0.593862879,0.053671780,-0.029511835,-0.089795244,0.108695880,-0.100000000
62.000000000,0,2,2.008161254,2.048550994,0.568966771,2.010900400,2.033932253,0.624372628,-0.002739146,0.014618741,-0.055405858,0.057367408,-0.200000000
62.000000000,0,3,0.022833754,2.003189879,0.374990995,0.000459906,2.052882615,0.480924162,0.022373847,-0.049692736,-0.105933167,0.119129312,0.184910689
62.100000000,0,1,2.036317669,0.034426686,0.583626968,2.010035087,0.049088433,0.669794997,0.026282582,-0.014661747,-0.086168029,0.091272505,-0.100000000
62.100000000,0,2,2.028514666,2.060411694,0.620458591,2.011131578,2.035559806,0.699929844,0.017383088,0.024851888,-0.079471252,0.085061554,-0.200000000
62.100000000,0,3,0.022308857,2.002776026,0.441246311,0.000280018,2.056444604,0.553746651,0.022028839,-0.053668578,-0.112500340,0.126577693,0.180913847
62.200000000,0,1,2.136132484,0.072513448,0.655568243,2.010367164,0.049341354,0.738432535,0.125765320,0.023172094,-0.082864293,0.152382259,-0.100000000
62.200000000,0,2,2.006930628,2.036303155,0.691553496,2.011111663,2.036659909,0.768147565,-0.004181035,-0.000356754,-0.076594070,0.076708929,-0.200000000
62.200000000,0,3,0.075014274,2.093908040,0.503092153,0.000075599,2.058945979,0.620304966,0.074938675,0.034962061,-0.117212814,0.143446835,-0.100000000
62.300000000,0,1,2.120748293,0.048659117,0.719397333,2.010668338,0.048734493,0.819471812,0.110079955,-0.000075376,-0.100074479,0.148769969,-0.100000000
62.300000000,0,2,2.058794835,2.058232654,0.767266338,2.010801261,2.037542906,0.848485802,0.047993574,0.020689748,-0.081219464,0.096581832,-0.200000000
62.300000000,0,3,0.024955831,2.025406219,0.564577612,-0.000198377,2.061023412,0.699584320,0.025154208,-0.035617193,-0.135006708,0.141873640,-0.100000000
62.400000000,0,1,2.159006483,0.086523699,0.794079142,2.010865121,0.047486062,0.890945102,0.148141362,0.039037637,-0.096865960,0.181253454,-0.100000000
62.400000000,0,2,2.043221764,2.112058881,0.843298384,2.010294974,2.038001113,0.919094890,0.032926789,0.074057769,-0.075796506,0.110967729,-0.200000000
62.400000000,0,3,0.064781376,2.051209308,0.634617596,-0.000460269,2.062047895,0.769928297,0.065241646,-0.010838587,-0.135310702,0.150608543,-0.100000000
62.500000000,0,1,2.183424793,0.147219311,0.870749635,2.010986890,0.045669410,0.961259511,0.172437903,0.101549900,-0.090509875,0.219634356,-0.100000000
62.500000000,0,2,2.112862764,2.050911612,0.894841624,2.009620956,2.038169225,0.988338172,0.103241809,0.012742387,-0.093496548,0.139867237,-0.200000000
62.500000000,0,3,0.061687545,2.113344403,0.733168236,-0.000734138,2.062354375,0.839368086,0.062421684,0.050990029,-0.106199849,0.133322382,-0.100000000
62.600000000,0,1,2.161233353,0.097758134,0.948089542,2.011036166,0.043067383,1.039104399,0.150197187,0.054690751,-0.091014857,0.183940146,-0.100000000
62.600000000,0,2,2.070709391,2.083638378,0.974954690,2.008715612,2.038000089,1.064663886,0.061993780,0.045638289,-0.089709196,0.118210922,-0.200000000
62.600000000,0,3,0.130429875,2.106114865,0.786475844,-0.001029022,2.061974905,0.916381621,0.131458897,0.044139960,-0.129905777,0.190013917,-0.100000000
62.700000000,0,1,2.151391561,0.073114626,1.031989777,2.011016600,0.040806609,1.096374416,0.140374961,0.032308017,-0.064384639,0.157779338,-0.100000000
62.700000000,0,2,2.104861347,2.159023170,1.052071644,2.007956523,2.037598584,1.120587783,0.096904824,0.121424586,-0.068516139,0.169790860,-0.200000000
62.700000000,0,3,0.083992234,2.071143296,0.870136392,-0.001212582,2.061259759,0.973144148,0.085204817,0.009883536,-0.103007755,0.134045301,-0.100000000
62.800000000,0,1,2.085762652,0.115270331,1.087351491,2.010901030,0.037195605,1.176996343,0.074861623,0.078074726,-0.089644853,0.140485320,-0.100000000
62.800000000,0,2,2.123496912,2.124446298,1.131192912,2.006780195,2.036596576,1.198950814,0.116716716,0.087849722,-0.067757902,0.161032601,-0.200000000
62.800000000,0,3,0.106302781,2.121339493,0.958739597,-0.001373011,2.059677654,1.053122399,0.107675792,0.061661839,-0.094382801,0.155898594,-0.100000000
