stamp,last_fuse_time,fuse_step,fuse_backtrack,dropped_fuse_count,rejected_fuse_count,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_2,com_age_2,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
14.400000000,0.000000000,0.000000000,0,0,110,0,0.108000000,0.108000000,0.122000000,0.122000000,0.114000000,0.114000000,-0.020000000,0.020000000,-0.106000000,0.106000000,0.002000000,0.002000000,-0.010000000,0.010000000,1,0.050000000,1,2,1,1,1,1,4,0.090545043,0.004836430,0.395929531
14.500000000,14.400000000,0.100000000,0,0,110,0,0.108000000,0.108000000,0.124000000,0.124000000,0.114000000,0.114000000,0.000000000,0.000000000,-0.006000000,0.006000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,2,1,1,1,1,4,0.088548748,-0.009351806,0.464772385
14.600000000,14.500000000,0.100000000,0,0,110,0,0.108000000,0.108000000,0.122000000,0.122000000,0.114000000,0.114000000,-0.020000000,0.020000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.010000000,0.010000000,1,0.050000000,1,2,1,1,1,1,4,0.062997257,-0.003181872,0.537801337
14.700000000,14.600000000,0.100000000,0,0,110,0,0.108000000,0.108000000,-0.200000000,0.200000000,0.114000000,0.114000000,0.000000000,0.000000000,-0.006000000,0.006000000,0.002000000,0.002000000,-0.012000000,0.012000000,1,0.050000000,1,2,1,1,1,1,4,0.051802901,-0.015593804,0.610474995
14.800000000,14.700000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,2,1,1,1,1,4,0.018000061,-0.038031476,0.679371224
14.900000000,14.800000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.008000000,0.008000000,1,0.050000000,1,1,1,1,1,1,4,-0.025411703,-0.030742035,0.746712138
15.000000000,14.900000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.206000000,0.206000000,0.002000000,0.002000000,-0.014000000,0.014000000,1,0.050000000,1,1,1,1,1,1,4,-0.028962534,-0.041048189,0.835099110
15.100000000,15.000000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.106000000,0.106000000,0.002000000,0.002000000,-0.002000000,0.002000000,1,0.050000000,1,1,1,1,1,1,4,-0.020129375,-0.026912281,0.911430147
15.200000000,15.100000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.006000000,0.006000000,0.002000000,0.002000000,0.010000000,0.010000000,1,0.050000000,1,1,1,1,1,1,4,0.009716709,-0.052997677,0.997012683
15.300000000,15.200000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.106000000,0.106000000,0.002000000,0.002000000,-0.014000000,0.014000000,1,0.050000000,1,1,1,1,1,1,4,-0.027524202,-0.052456421,1.054339478
15.400000000,15.300000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.006000000,0.006000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,-0.064163861,-0.041642663,1.128802937
15.500000000,15.400000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,-0.075529150,-0.031540261,1.205201372
15.600000000,15.500000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.106000000,0.106000000,0.002000000,0.002000000,-0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,-0.015623447,-0.018375014,1.270166180
15.700000000,15.600000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.006000000,0.006000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,0.004755079,-0.001087578,1.337979852
15.800000000,15.700000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.010000000,0.010000000,1,0.050000000,1,1,1,1,1,1,4,-0.017000007,0.012611180,1.404227730
15.900000000,15.800000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.006000000,0.006000000,0.002000000,0.002000000,-0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,-0.000563728,0.041827001,1.467471350
16.000000000,15.900000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.009333333,0.009333333,-0.106000000,0.106000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,0.027353073,0.048264255,1.540819321
16.100000000,16.000000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.005333333,0.005333333,-0.106000000,0.106000000,0.000000000,0.000000000,0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,0.028190058,0.058317780,1.624103510
16.200000000,16.100000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.020000000,0.020000000,-0.206000000,0.206000000,0.002000000,0.002000000,-0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,0.031985321,0.053030537,1.703873551
16.300000000,16.200000000,0.100000000,0,0,110,0,-0.200000000,0.200000000,-0.200000000,0.200000000,-0.200000000,0.200000000,0.000000000,0.000000000,-0.106000000,0.106000000,0.002000000,0.002000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,-0.005364311,0.033706278,1.781313164
