seq,timestamp,self_id,target_id,distance,gt_distance
0,10.194000,0,1,2.092022,2.000000
0,10.194000,0,2,2.827865,2.828427
0,10.194000,0,3,1.994480,2.000000
1,10.234000,0,1,2.043848,2.000000
1,10.234000,0,2,2.769370,2.828427
1,10.234000,0,3,1.994365,2.000000
2,10.274000,0,1,1.921328,2.000000
2,10.274000,0,2,2.865216,2.828427
2,10.274000,0,3,2.125100,2.000000
3,10.314000,0,1,1.907193,2.000000
3,10.314000,0,2,2.805453,2.828427
3,10.314000,0,3,1.970520,2.000000
4,10.354000,0,1,1.994535,2.000000
4,10.354000,0,2,2.872397,2.828427
4,10.354000,0,3,2.036234,2.000000
5,10.394000,0,1,2.000331,2.000000
5,10.394000,0,2,2.845879,2.828427
5,10.394000,0,3,1.976101,2.000000
6,10.434000,0,1,2.064933,2.000000
6,10.434000,0,2,2.880766,2.828427
6,10.434000,0,3,2.029301,2.000000
7,10.474000,0,1,1.943228,2.000000
7,10.474000,0,2,2.856738,2.828427
7,10.474000,0,3,2.003104,2.000000
8,10.514000,0,1,1.944477,2.000000
8,10.514000,0,2,2.682385,2.828427
8,10.514000,0,3,2.113684,2.000000
9,10.554000,0,1,2.003049,2.000000
9,10.554000,0,2,2.889896,2.828427
9,10.554000,0,3,1.788512,2.000000
10,10.594000,0,1,2.039135,2.000000
10,10.594000,0,2,2.820582,2.828427
10,10.594000,0,3,2.065397,2.000000
11,10.634000,0,1,1.972325,2.000000
11,10.634000,0,2,2.898169,2.828427
11,10.634000,0,3,1.953519,2.000000
12,10.674000,0,1,2.086101,2.000000
12,10.674000,0,2,2.734155,2.828427
12,10.674000,0,3,1.982239,2.000000
13,10.714000,0,1,1.947740,2.000000
13,10.714000,0,2,2.790645,2.828427
13,10.714000,0,3,2.115249,2.000000
14,10.754000,0,1,1.985703,2.000000
14,10.754000,0,2,2.880492,2.828427
14,10.754000,0,3,1.901528,2.000000
15,10.794000,0,1,1.912707,2.000000
15,10.794000,0,2,2.968611,2.828427
15,10.794000,0,3,2.033161,2.000000
16,10.834000,0,1,1.971588,2.000000
