seq,timestamp,self_id,target_id,distance,gt_distance
0,10.192000,3,0,2.012103,2.000000
0,10.192000,3,1,2.854447,2.828427
0,10.192000,3,2,2.002582,2.000000
1,10.232000,3,0,2.004306,2.000000
1,10.232000,3,1,2.856646,2.828427
1,10.232000,3,2,1.854561,2.000000
2,10.272000,3,0,2.037975,2.000000
2,10.272000,3,1,2.741571,2.828427
2,10.272000,3,2,1.994257,2.000000
3,10.312000,3,0,2.056752,2.000000
3,10.312000,3,1,2.898819,2.828427
3,10.312000,3,2,1.878358,2.000000
4,10.352000,3,0,2.154869,2.000000
4,10.352000,3,1,2.946794,2.828427
4,10.352000,3,2,1.887827,2.000000
5,10.392000,3,0,2.165067,2.000000
5,10.392000,3,1,2.680508,2.828427
5,10.392000,3,2,1.946911,2.000000
6,10.432000,3,0,2.076093,2.000000
6,10.432000,3,1,2.965218,2.828427
6,10.432000,3,2,2.089066,2.000000
7,10.472000,3,0,2.123717,2.000000
7,10.472000,3,1,2.814842,2.828427
7,10.472000,3,2,2.070726,2.000000
8,10.512000,3,0,2.045659,2.000000
8,10.512000,3,1,2.773554,2.828427
8,10.512000,3,2,2.061710,2.000000
9,10.552000,3,0,2.099695,2.000000
9,10.552000,3,1,2.819969,2.828427
9,10.552000,3,2,1.915932,2.000000
10,10.592000,3,0,1.963256,2.000000
10,10.592000,3,1,2.869152,2.828427
10,10.592000,3,2,2.069677,2.000000
11,10.634000,3,0,2.001672,2.000000
11,10.634000,3,1,2.860462,2.828427
11,10.634000,3,2,2.051004,2.000000
12,10.672000,3,0,2.104917,2.000000
12,10.672000,3,1,2.907819,2.828427
12,10.672000,3,2,1.930602,2.000000
13,10.712000,3,0,1.997247,2.000000
13,10.712000,3,1,2.898127,2.828427
13,10.712000,3,2,1.937413,2.000000
14,10.752000,3,0,2.041870,2.000000
14,10.752000,3,1,2.776490,2.828427
14,10.752000,3,2,1.970345,2.000000
15,10.792000,3,0,1.964684,2.000000
15,10.792000,3,1,2.767875,2.828427
15,10.792000,3,2,1.981140,2.000000
16,10.834000,3,0,2.045432,2.000000
16,10.834000,3,1,2.784776,2.828427
16,10.834000,3,2,2.117726,2.000000
17,10.872000,3,0,1.959733,2.000000
17,10.872000,3,1,2.817848,2.828427
17,10.872000,3,2,1.777866,2.000000
18,10.912000,3,0,1.941774,2.000000
18,10.912000,3,1,2.816595,2.828427
18,10.912000,3,2,1.815228,2.000000
19,10.952000,3,0,1.983303,2.000000
19,10.952000,3,1,2.854104,2.828427
19,10.952000,3,2,2.187294,2.000000
20,10.992000,3,0,1.864046,2.000000
20,10.992000,3,1,2.928585,2.828427
20,10.992000,3,2,1.938405,2.000000
