seq,timestamp,self_id,target_id,filtered_distance,gt_distance
0,15.042000,0,1,1.985087,2.000000
0,15.042000,0,2,2.884783,2.828427
0,15.042000,0,3,2.083448,2.000000
1,15.042000,0,1,1.980616,2.000000
1,15.042000,0,2,2.891660,2.828427
1,15.042000,0,3,2.042311,2.000000
2,15.084000,0,1,2.012572,2.000000
2,15.084000,0,2,2.814567,2.828427
2,15.084000,0,3,2.028550,2.000000
3,15.122000,0,1,2.054868,2.000000
3,15.122000,0,2,2.826242,2.828427
3,15.122000,0,3,2.006272,2.000000
4,15.162000,0,1,2.017845,2.000000
4,15.162000,0,2,2.841399,2.828427
4,15.162000,0,3,2.029686,2.000000
5,15.202000,0,1,2.004457,2.000000
5,15.202000,0,2,2.828996,2.828427
5,15.202000,0,3,2.057526,2.000000
6,15.242000,0,1,2.016457,2.000000
6,15.242000,0,2,2.795310,2.828427
6,15.242000,0,3,2.050855,2.000000
7,15.282000,0,1,1.991156,2.000000
7,15.282000,0,2,2.822978,2.828427
7,15.282000,0,3,2.078040,2.000000
8,15.322000,0,1,1.964333,2.000000
8,15.322000,0,2,2.801587,2.828427
8,15.322000,0,3,2.074994,2.000000
9,15.362000,0,1,2.005824,2.000000
9,15.362000,0,2,2.779356,2.828427
9,15.362000,0,3,2.029416,2.000000
10,15.402000,0,1,2.038586,2.000000
10,15.402000,0,2,2.751695,2.828427
10,15.402000,0,3,1.994264,2.000000
11,15.442000,0,1,2.021384,2.000000
11,15.442000,0,2,2.779845,2.828427
11,15.442000,0,3,1.996113,2.000000
12,15.482000,0,1,2.031643,2.000000
12,15.482000,0,2,2.780361,2.828427
12,15.482000,0,3,1.955513,2.000000
13,15.522000,0,1,2.016659,2.000000
13,15.522000,0,2,2.815143,2.828427
13,15.522000,0,3,1.990011,2.000000
14,15.562000,0,1,2.014232,2.000000
14,15.562000,0,2,2.808590,2.828427
14,15.562000,0,3,2.026227,2.000000
15,15.602000,0,1,2.006903,2.000000
15,15.602000,0,2,2.861373,2.828427
15,15.602000,0,3,1.986306,2.000000
16,15.642000,0,1,1.999339,2.000000
16,15.642000,0,2,2.851249,2.828427
16,15.642000,0,3,2.007318,2.000000
17,15.684000,0,1,2.036253,2.000000
17,15.684000,0,2,2.859740,2.828427
17,15.684000,0,3,2.013149,2.000000
18,15.724000,0,1,2.034013,2.000000
18,15.724000,0,2,2.862573,2.828427
18,15.724000,0,3,1.982260,2.000000
19,15.762000,0,1,2.043761,2.000000
19,15.762000,0,2,2.921516,2.828427
19,15.762000,0,3,1.987521,2.000000
20,15.802000,0,1,2.034555,2.000000
20,15.802000,0,2,2.897615,2.828427
20,15.802000,0,3,2.049775,2.000000
21,15.842000,0,1,2.051822,2.000000
21,15.842000,0,2,2.894431,2.828427
21,15.842000,0,3,2.000860,2.000000
22,15.882000,0,1,2.006845,2.000000
22,15.882000,0,2,2.876255,2.828427
22,15.882000,0,3,2.007424,2.000000
23,15.922000,0,1,2.004956,2.000000
23,15.922000,0,2,2.846098,2.828427
23,15.922000,0,3,1.985368,2.000000
24,15.964000,0,1,1.995456,2.000000
24,15.964000,0,2,2.796147,2.828427
24,15.964000,0,3,1.949905,2.000000
25,16.002000,0,1,1.965053,2.000000
25,16.002000,0,2,2.778782,2.828427
25,16.002000,0,3,1.918457,2.000000
26,16.042000,0,1,1.985736,2.000000
26,16.042000,0,2,2.784227,2.828427
26,16.042000,0,3,1.957063,2.000000
27,16.082000,0,1,2.020127,2.000000
27,16.082000,0,2,2.817200,2.828427
27,16.082000,0,3,1.971451,2.000000
28,16.124000,0,1,2.038167,2.000000
28,16.124000,0,2,2.815740,2.828427
28,16.124000,0,3,1.974143,2.000000
29,16.162000,0,1,2.015461,2.000000
29,16.162000,0,2,2.826309,2.828427
29,16.162000,0,3,1.975449,2.000000
30,16.202000,0,1,2.026194,2.000000
30,16.202000,0,2,2.816787,2.828427
30,16.202000,0,3,1.989406,2.000000
31,16.242000,0,1,1.995497,2.000000
31,16.242000,0,2,2.801801,2.828427
31,16.242000,0,3,1.998134,2.000000
32,16.282000,0,1,1.977411,2.000000
32,16.282000,0,2,2.781075,2.828427
32,16.282000,0,3,2.014556,2.000000
33,16.322000,0,1,1.949883,2.000000
33,16.322000,0,2,2.775657,2.828427
33,16.322000,0,3,2.039823,2.000000
34,16.362000,0,1,1.942636,2.000000
34,16.362000,0,2,2.748407,2.828427
34,16.362000,0,3,2.049818,2.000000
35,16.402000,0,1,1.953844,2.000000
35,16.402000,0,2,2.768927,2.828427
35,16.402000,0,3,2.066128,2.000000
36,16.442000,0,1,1.963288,2.000000
36,16.442000,0,2,2.787630,2.828427
36,16.442000,0,3,2.049396,2.000000
37,16.482000,0,1,1.952659,2.000000
37,16.482000,0,2,2.807450,2.828427
37,16.482000,0,3,2.010932,2.000000
38,16.522000,0,1,1.971594,2.000000
38,16.522000,0,2,2.793840,2.828427
38,16.522000,0,3,2.029871,2.000000
39,16.562000,0,1,1.976392,2.000000
39,16.562000,0,2,2.806992,2.828427
39,16.562000,0,3,2.026740,2.000000
40,16.602000,0,1,1.983999,2.000000
40,16.602000,0,2,2.815886,2.828427
40,16.602000,0,3,1.992537,2.000000
41,16.642000,0,1,1.981710,2.000000
41,16.642000,0,2,2.811727,2.828427
41,16.642000,0,3,1.997891,2.000000
42,16.682000,0,1,1.996398,2.000000
42,16.682000,0,2,2.804436,2.828427
42,16.682000,0,3,2.021041,2.000000
43,16.722000,0,1,2.014299,2.000000
43,16.722000,0,2,2.819648,2.828427
43,16.722000,0,3,2.020123,2.000000
44,16.762000,0,1,2.033486,2.000000
44,16.762000,0,2,2.833441,2.828427
44,16.762000,0,3,2.021953,2.000000
45,16.802000,0,1,2.035789,2.000000
45,16.802000,0,2,2.836028,2.828427
45,16.802000,0,3,2.028654,2.000000
46,16.842000,0,1,2.054261,2.000000
46,16.842000,0,2,2.881616,2.828427
46,16.842000,0,3,2.011943,2.000000
47,16.882000,0,1,2.054800,2.000000
47,16.882000,0,2,2.868997,2.828427
47,16.882000,0,3,2.020259,2.000000
48,16.924000,0,1,2.027108,2.000000
48,16.924000,0,2,2.912104,2.828427
48,16.924000,0,3,2.004695,2.000000
49,16.962000,0,1,2.011988,2.000000
49,16.962000,0,2,2.892359,2.828427
49,16.962000,0,3,1.996459,2.000000
50,17.002000,0,1,2.013507,2.000000
50,17.002000,0,2,2.869039,2.828427
50,17.002000,0,3,1.982914,2.000000
51,17.042000,0,1,1.987096,2.000000
51,17.042000,0,2,2.843784,2.828427
51,17.042000,0,3,2.007375,2.000000
52,17.082000,0,1,1.960397,2.000000
52,17.082000,0,2,2.852827,2.828427
52,17.082000,0,3,1.950979,2.000000
53,17.122000,0,1,1.943230,2.000000
53,17.122000,0,2,2.824651,2.828427
53,17.122000,0,3,1.961365,2.000000
54,17.162000,0,1,1.955582,2.000000
