seq,timestamp,self_id,target_id,filtered_distance,gt_distance
1,4.866000,3,0,0.132095,0.000000
9,5.186000,3,0,1.084726,2.000000
9,5.186000,3,1,2.878147,2.828427
9,5.186000,3,2,1.932456,2.000000
10,5.226000,3,0,1.425965,2.000000
10,5.226000,3,1,2.878348,2.828427
10,5.226000,3,2,1.962349,2.000000
11,5.266000,3,0,1.531621,2.000000
11,5.266000,3,1,2.904165,2.828427
11,5.266000,3,2,1.969676,2.000000
12,5.306000,3,0,1.605263,2.000000
12,5.306000,3,1,2.874096,2.828427
12,5.306000,3,2,1.971904,2.000000
13,5.346000,3,0,1.962855,2.000000
13,5.346000,3,1,2.852475,2.828427
13,5.346000,3,2,1.972157,2.000000
14,5.386000,3,0,1.955364,2.000000
14,5.386000,3,1,2.840638,2.828427
14,5.386000,3,2,1.989219,2.000000
15,5.426000,3,0,1.947701,2.000000
15,5.426000,3,1,2.823754,2.828427
15,5.426000,3,2,1.998037,2.000000
16,5.466000,3,0,1.965922,2.000000
16,5.466000,3,1,2.817350,2.828427
16,5.466000,3,2,2.028651,2.000000
17,5.506000,3,0,2.005963,2.000000
17,5.506000,3,1,2.786901,2.828427
17,5.506000,3,2,2.034646,2.000000
18,5.546000,3,0,2.000740,2.000000
18,5.546000,3,2,2.043944,2.000000
19,5.586000,3,0,2.018774,2.000000
19,5.586000,3,1,2.797955,2.828427
19,5.586000,3,2,2.023125,2.000000
20,5.626000,3,0,1.999074,2.000000
20,5.626000,3,1,2.781753,2.828427
20,5.626000,3,2,2.035367,2.000000
21,5.666000,3,0,1.983285,2.000000
21,5.666000,3,1,2.762548,2.828427
21,5.666000,3,2,2.001187,2.000000
22,5.706000,3,0,1.962659,2.000000
22,5.706000,3,1,2.731884,2.828427
22,5.706000,3,2,2.005532,2.000000
23,5.746000,3,0,1.972487,2.000000
23,5.746000,3,1,2.790794,2.828427
23,5.746000,3,2,1.991607,2.000000
24,5.786000,3,0,1.942925,2.000000
24,5.786000,3,1,2.805188,2.828427
24,5.786000,3,2,2.010318,2.000000
25,5.826000,3,0,1.937605,2.000000
25,5.826000,3,1,2.814525,2.828427
25,5.826000,3,2,2.005206,2.000000
26,5.866000,3,0,1.952916,2.000000
26,5.866000,3,1,2.832355,2.828427
26,5.866000,3,2,2.017209,2.000000
27,5.906000,3,0,1.934015,2.000000
27,5.906000,3,1,2.858529,2.828427
27,5.906000,3,2,2.028431,2.000000
28,5.946000,3,0,1.938210,2.000000
28,5.946000,3,1,2.861649,2.828427
28,5.946000,3,2,2.046866,2.000000
29,5.986000,3,0,1.945403,2.000000
29,5.986000,3,2,2.030076,2.000000
30,6.026000,3,0,1.978205,2.000000
30,6.026000,3,1,2.837429,2.828427
30,6.026000,3,2,1.996356,2.000000
31,6.066000,3,0,2.011424,2.000000
31,6.066000,3,1,2.866062,2.828427
31,6.066000,3,2,2.007185,2.000000
32,6.106000,3,0,2.035194,2.000000
32,6.106000,3,1,2.863570,2.828427
32,6.106000,3,2,1.971870,2.000000
33,6.146000,3,0,2.017597,2.000000
33,6.146000,3,1,2.840120,2.828427
33,6.146000,3,2,1.969614,2.000000
34,6.186000,3,0,2.024186,2.000000
34,6.186000,3,1,2.796555,2.828427
34,6.186000,3,2,2.000711,2.000000
35,6.226000,3,0,1.983648,2.000000
35,6.226000,3,1,2.808985,2.828427
35,6.226000,3,2,2.056802,2.000000
36,6.266000,3,0,1.971051,2.000000
36,6.266000,3,1,2.774227,2.828427
36,6.266000,3,2,2.020969,2.000000
37,6.306000,3,0,1.950461,2.000000
37,6.306000,3,1,2.753958,2.828427
37,6.306000,3,2,2.024216,2.000000
38,6.346000,3,0,1.961896,2.000000
38,6.346000,3,1,2.759673,2.828427
38,6.346000,3,2,1.996878,2.000000
39,6.386000,3,0,1.964021,2.000000
39,6.386000,3,1,2.774812,2.828427
39,6.386000,3,2,1.952929,2.000000
40,6.426000,3,0,1.978494,2.000000
40,6.426000,3,1,2.777524,2.828427
40,6.426000,3,2,1.895204,2.000000
41,6.466000,3,0,1.990382,2.000000
41,6.466000,3,1,2.788425,2.828427
41,6.466000,3,2,1.916292,2.000000
42,6.506000,3,0,2.000605,2.000000
42,6.506000,3,1,2.811375,2.828427
43,6.550000,3,0,2.024533,2.000000
43,6.550000,3,1,2.812215,2.828427
43,6.550000,3,2,1.917991,2.000000
44,6.586000,3,0,1.996154,2.000000
44,6.586000,3,1,2.827612,2.828427
44,6.586000,3,2,1.931515,2.000000
45,6.626000,3,0,2.029973,2.000000
45,6.626000,3,1,2.813970,2.828427
45,6.626000,3,2,1.983193,2.000000
46,6.666000,3,0,1.990514,2.000000
46,6.666000,3,1,2.804454,2.828427
46,6.666000,3,2,2.008954,2.000000
47,6.706000,3,0,2.007499,2.000000
47,6.706000,3,1,2.802386,2.828427
47,6.706000,3,2,2.001426,2.000000
48,6.746000,3,0,1.987045,2.000000
48,6.746000,3,1,2.808329,2.828427
48,6.746000,3,2,2.022742,2.000000
49,6.786000,3,0,2.002066,2.000000
49,6.786000,3,1,2.806146,2.828427
49,6.786000,3,2,2.012465,2.000000
50,6.826000,3,0,1.983638,2.000000
50,6.826000,3,1,2.826241,2.828427
50,6.826000,3,2,2.008841,2.000000
51,6.866000,3,0,2.019101,2.000000
51,6.866000,3,1,2.834286,2.828427
51,6.866000,3,2,2.013117,2.000000
52,6.906000,3,0,2.015202,2.000000
52,6.906000,3,1,2.855737,2.828427
52,6.906000,3,2,1.995523,2.000000
53,6.946000,3,0,2.050473,2.000000
53,6.946000,3,1,2.858213,2.828427
53,6.946000,3,2,1.979392,2.000000
54,6.986000,3,0,2.038136,2.000000
54,6.986000,3,1,2.845942,2.828427
54,6.986000,3,2,2.014928,2.000000
55,7.026000,3,0,2.021509,2.000000
55,7.026000,3,1,2.825343,2.828427
55,7.026000,3,2,2.005088,2.000000
56,7.066000,3,0,2.011277,2.000000
56,7.066000,3,1,2.843874,2.828427
56,7.066000,3,2,1.994037,2.000000
57,7.106000,3,0,2.013670,2.000000
57,7.106000,3,1,2.808782,2.828427
57,7.106000,3,2,1.995947,2.000000
58,7.146000,3,0,1.982028,2.000000
58,7.146000,3,1,2.804883,2.828427
58,7.146000,3,2,2.000736,2.000000
59,7.186000,3,0,2.015220,2.000000
59,7.186000,3,1,2.811956,2.828427
59,7.186000,3,2,1.966571,2.000000
60,7.226000,3,0,2.017492,2.000000
60,7.226000,3,1,2.818721,2.828427
60,7.226000,3,2,1.961747,2.000000
61,7.266000,3,0,1.989243,2.000000
61,7.266000,3,1,2.785097,2.828427
61,7.266000,3,2,1.953522,2.000000
62,7.306000,3,0,1.990367,2.000000
62,7.306000,3,1,2.799859,2.828427
62,7.306000,3,2,1.979791,2.000000
63,7.346000,3,0,1.994491,2.000000
63,7.346000,3,1,2.796088,2.828427
63,7.346000,3,2,2.007513,2.000000
64,7.386000,3,0,2.010013,2.000000
64,7.386000,3,1,2.791113,2.828427
64,7.386000,3,2,2.049148,2.000000
65,7.426000,3,0,2.024867,2.000000
65,7.426000,3,1,2.806664,2.828427
65,7.426000,3,2,2.017276,2.000000
66,7.466000,3,0,2.066055,2.000000
66,7.466000,3,1,2.832258,2.828427
66,7.466000,3,2,2.036177,2.000000
67,7.506000,3,0,2.049077,2.000000
67,7.506000,3,1,2.860982,2.828427
67,7.506000,3,2,2.020985,2.000000
68,7.548000,3,0,2.062458,2.000000
68,7.548000,3,1,2.849280,2.828427
68,7.548000,3,2,2.004817,2.000000
69,7.586000,3,0,2.058409,2.000000
69,7.586000,3,1,2.840109,2.828427
69,7.586000,3,2,1.977450,2.000000
70,7.628000,3,0,2.050615,2.000000
70,7.628000,3,1,2.815929,2.828427
70,7.628000,3,2,1.985968,2.000000
71,7.666000,3,0,2.030119,2.000000
71,7.666000,3,1,2.840636,2.828427
71,7.666000,3,2,1.979221,2.000000
72,7.710000,3,0,2.016852,2.000000
72,7.710000,3,1,2.843786,2.828427
72,7.710000,3,2,1.987013,2.000000
73,7.746000,3,0,2.000726,2.000000
73,7.746000,3,1,2.845020,2.828427
73,7.746000,3,2,2.006091,2.000000
74,7.790000,3,0,1.959188,2.000000
74,7.790000,3,1,2.875375,2.828427
74,7.790000,3,2,2.017251,2.000000
75,7.826000,3,0,1.963773,2.000000
75,7.826000,3,1,2.886851,2.828427
75,7.826000,3,2,2.029154,2.000000
76,7.866000,3,0,1.980186,2.000000
76,7.866000,3,1,2.852716,2.828427
76,7.866000,3,2,2.025941,2.000000
77,7.906000,3,0,1.984457,2.000000
77,7.906000,3,1,2.826156,2.828427
77,7.906000,3,2,1.999143,2.000000
78,7.946000,3,0,2.028093,2.000000
78,7.946000,3,1,2.848518,2.828427
78,7.946000,3,2,1.981286,2.000000
79,7.986000,3,0,2.013407,2.000000
79,7.986000,3,1,2.804918,2.828427
79,7.986000,3,2,1.974044,2.000000
80,8.026000,3,0,2.001128,2.000000
80,8.026000,3,1,2.789764,2.828427
80,8.026000,3,2,1.972983,2.000000
81,8.066000,3,0,1.984427,2.000000
81,8.066000,3,1,2.807521,2.828427
81,8.066000,3,2,1.976346,2.000000
82,8.106000,3,0,1.984685,2.000000
82,8.106000,3,1,2.813515,2.828427
82,8.106000,3,2,2.004579,2.000000
83,8.146000,3,0,1.910764,2.000000
83,8.146000,3,1,2.784118,2.828427
83,8.146000,3,2,2.023116,2.000000
84,8.186000,3,0,1.961481,2.000000
84,8.186000,3,1,2.819571,2.828427
84,8.186000,3,2,2.025517,2.000000
85,8.226000,3,0,1.969146,2.000000
85,8.226000,3,1,2.844974,2.828427
85,8.226000,3,2,2.017406,2.000000
86,8.266000,3,0,1.945820,2.000000
86,8.266000,3,1,2.830922,2.828427
86,8.266000,3,2,2.012491,2.000000
87,8.306000,3,0,1.950880,2.000000
87,8.306000,3,1,2.844882,2.828427
87,8.306000,3,2,2.021420,2.000000
88,8.346000,3,0,2.000913,2.000000
88,8.346000,3,1,2.826084,2.828427
88,8.346000,3,2,2.023864,2.000000
89,8.386000,3,0,1.966968,2.000000
89,8.386000,3,1,2.800257,2.828427
89,8.386000,3,2,2.018430,2.000000
90,8.426000,3,0,1.960469,2.000000
90,8.426000,3,1,2.770363,2.828427
90,8.426000,3,2,2.040187,2.000000
91,8.466000,3,0,1.984149,2.000000
91,8.466000,3,1,2.793374,2.828427
91,8.466000,3,2,2.034067,2.000000
92,8.506000,3,0,1.978753,2.000000
92,8.506000,3,1,2.782415,2.828427
92,8.506000,3,2,2.005934,2.000000
93,8.546000,3,0,1.957767,2.000000
93,8.546000,3,1,2.831252,2.828427
93,8.546000,3,2,1.994559,2.000000
94,8.586000,3,0,2.004321,2.000000
94,8.586000,3,1,2.829046,2.828427
94,8.586000,3,2,1.999152,2.000000
95,8.626000,3,0,2.002330,2.000000
95,8.626000,3,1,2.850739,2.828427
95,8.626000,3,2,1.975451,2.000000
96,8.666000,3,0,2.009033,2.000000
96,8.666000,3,1,2.800919,2.828427
96,8.666000,3,2,1.956047,2.000000
97,8.706000,3,0,2.050271,2.000000
97,8.706000,3,1,2.753219,2.828427
97,8.706000,3,2,1.971406,2.000000
98,8.746000,3,0,2.044980,2.000000
98,8.746000,3,1,2.742364,2.828427
98,8.746000,3,2,1.928514,2.000000
99,8.788000,3,0,2.037701,2.000000
99,8.788000,3,1,2.742883,2.828427
99,8.788000,3,2,1.941910,2.000000
100,8.826000,3,0,2.040481,2.000000
100,8.826000,3,1,2.753304,2.828427
100,8.826000,3,2,1.969933,2.000000
101,8.866000,3,0,2.013710,2.000000
101,8.866000,3,1,2.761931,2.828427
101,8.866000,3,2,2.002254,2.000000
102,8.906000,3,0,1.988269,2.000000
102,8.906000,3,1,2.820605,2.828427
102,8.906000,3,2,2.010179,2.000000
103,8.946000,3,0,2.004272,2.000000
103,8.946000,3,1,2.805116,2.828427
103,8.946000,3,2,2.047611,2.000000
104,8.988000,3,0,1.998449,2.000000
104,8.988000,3,1,2.816825,2.828427
104,8.988000,3,2,2.035010,2.000000
105,9.026000,3,0,1.999780,2.000000
105,9.026000,3,1,2.800280,2.828427
105,9.026000,3,2,2.075644,2.000000
106,9.066000,3,0,2.006434,2.000000
106,9.066000,3,1,2.814019,2.828427
106,9.066000,3,2,2.063978,2.000000
107,9.106000,3,0,2.020099,2.000000
107,9.106000,3,1,2.806915,2.828427
107,9.106000,3,2,2.050745,2.000000
108,9.146000,3,0,1.992344,2.000000
108,9.146000,3,1,2.809440,2.828427
108,9.146000,3,2,2.012891,2.000000
109,9.188000,3,0,1.954322,2.000000
109,9.188000,3,1,2.821710,2.828427
109,9.188000,3,2,2.013957,2.000000
110,9.226000,3,0,1.922188,2.000000
110,9.226000,3,1,2.803463,2.828427
110,9.226000,3,2,1.964841,2.000000
111,9.266000,3,0,1.942449,2.000000
111,9.266000,3,1,2.830645,2.828427
111,9.266000,3,2,1.982523,2.000000
112,9.306000,3,0,1.941607,2.000000
112,9.306000,3,1,2.793693,2.828427
112,9.306000,3,2,1.987723,2.000000
113,9.346000,3,0,1.984239,2.000000
113,9.346000,3,1,2.790329,2.828427
113,9.346000,3,2,2.018401,2.000000
114,9.386000,3,0,1.997171,2.000000
114,9.386000,3,1,2.806453,2.828427
114,9.386000,3,2,2.023688,2.000000
115,9.428000,3,0,2.025329,2.000000
115,9.428000,3,1,2.820660,2.828427
115,9.428000,3,2,2.005234,2.000000
