stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
24.508000,3,0,0,-0.017228,0.018400,3.012424,0.000000,0.000000,0.000000,0.000000,0.030000,2.000982,0,1.978106,-1.414205,-1.414214,3.000000
24.508000,3,0,1,1.960855,0.028049,3.016293,0.000000,0.000000,0.000000,0.000000,0.030000,2.047535,0,1.978106,3.414222,-1.414213,3.000000
24.508000,3,0,2,1.996553,2.055139,2.999495,0.000000,0.000000,0.000000,0.000000,0.030000,1.963891,0,1.978106,3.414222,3.414214,3.000000
24.508000,3,0,3,-0.012849,2.018713,3.012886,0.000000,0.000000,0.000000,0.000000,0.030000,1.977681,0,1.978106,-1.414206,3.414213,3.000000
24.608000,3,0,0,-0.017280,0.017712,3.013053,-0.000516,-0.006885,0.000000,0.006905,0.090000,2.000453,0,1.979059,-1.414205,-1.414214,3.000000
24.608000,3,0,1,1.961753,0.027963,3.017673,0.008983,-0.000859,0.000000,0.009024,0.090000,2.046837,0,1.979059,3.414222,-1.414213,3.000000
24.608000,3,0,2,1.998598,2.054581,3.000390,0.020444,-0.005580,0.000000,0.021192,0.090000,1.962802,0,1.979059,3.414222,3.414214,3.000000
24.608000,3,0,3,-0.012401,2.017903,3.014480,0.004479,-0.008102,0.000000,0.009257,0.090000,1.978570,0,1.979059,-1.414206,3.414213,3.000000
24.708000,3,0,0,-0.017423,0.016603,3.012187,-0.001432,-0.011084,0.000000,0.011176,0.150000,1.999559,0,1.980659,-1.414205,-1.414214,3.000000
24.708000,3,0,1,1.963205,0.027752,3.017793,0.014516,-0.002109,0.000000,0.014668,0.150000,2.045658,0,1.980659,3.414222,-1.414213,3.000000
24.708000,3,0,2,2.001561,2.053761,3.000519,0.029637,-0.008207,0.000000,0.030752,0.150000,1.961235,0,1.980659,3.414222,3.414214,3.000000
24.708000,3,0,3,-0.012028,2.016815,3.014698,0.003723,-0.010876,0.000000,0.011496,0.150000,1.979602,0,1.980659,-1.414206,3.414213,3.000000
24.808000,3,0,0,-0.018259,0.014890,3.009904,-0.008363,-0.017131,0.000000,0.019064,0.210000,1.997749,0,1.983364,-1.414205,-1.414214,3.000000
24.808000,3,0,1,1.965068,0.026983,3.016392,0.018631,-0.007693,0.000000,0.020157,0.210000,2.043794,0,1.983364,3.414222,-1.414213,3.000000
24.808000,3,0,2,2.004808,2.053732,2.999735,0.032461,-0.000288,0.000000,0.032462,0.210000,1.958918,0,1.983364,3.414222,3.414214,3.000000
24.808000,3,0,3,-0.012503,2.016443,3.013392,-0.004744,-0.003719,0.000000,0.006028,0.210000,1.979528,0,1.983364,-1.414206,3.414213,3.000000
24.908000,3,0,0,-0.019636,0.013036,3.008197,-0.013772,-0.018539,0.000000,0.023095,0.270000,1.995461,0,1.986507,-1.414205,-1.414214,3.000000
24.908000,3,0,1,1.966830,0.025762,3.015209,0.017619,-0.012208,0.000000,0.021435,0.270000,2.041684,0,1.986507,3.414222,-1.414213,3.000000
24.908000,3,0,2,2.007418,2.054663,2.999098,0.026099,0.009310,0.000000,0.027710,0.270000,1.956394,0,1.986507,3.414222,3.414214,3.000000
24.908000,3,0,3,-0.013703,2.017057,3.012296,-0.012005,0.006140,0.000000,0.013484,0.270000,1.978245,0,1.986507,-1.414206,3.414213,3.000000
