stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
22.160000,3,0,0,-0.003460,0.021801,2.972468,0.000000,0.000000,0.000000,0.000000,0.030000,2.013044,0,1.989016,-1.414207,-1.414214,3.000000
22.160000,3,0,1,1.985436,0.000002,2.977965,0.000000,0.000000,0.000000,0.000000,0.030000,2.010331,0,1.989016,3.414219,-1.414214,3.000000
22.160000,3,0,2,2.000427,2.005891,3.018073,0.000000,0.000000,0.000000,0.000000,0.030000,1.995540,0,1.989016,3.414220,3.414213,3.000000
22.160000,3,0,3,-0.002073,2.020255,2.996262,0.000000,0.000000,0.000000,0.000000,0.030000,1.984249,0,1.989016,-1.414207,3.414214,3.000000
22.260000,3,0,0,-0.002177,0.021413,2.972689,0.012839,-0.003881,0.000000,0.013413,0.090000,2.013667,0,1.988505,-1.414207,-1.414214,3.000000
22.260000,3,0,1,1.986207,-0.000537,2.979178,0.007711,-0.005393,0.000000,0.009409,0.090000,2.009403,0,1.988505,3.414219,-1.414214,3.000000
22.260000,3,0,2,1.999633,2.004452,3.020182,-0.007942,-0.014394,0.000000,0.016440,0.090000,1.997119,0,1.988505,3.414220,3.414213,3.000000
22.260000,3,0,3,-0.001393,2.018862,2.997313,0.006792,-0.013926,0.000000,0.015494,0.090000,1.985711,0,1.988505,-1.414207,3.414214,3.000000
22.362000,3,0,0,-0.000671,0.020657,2.973053,0.014758,-0.007409,0.000000,0.016513,0.151200,2.014184,0,1.988261,-1.414207,-1.414214,3.000000
22.362000,3,0,1,1.987469,-0.001251,2.980145,0.012371,-0.006998,0.000000,0.014213,0.151200,2.008005,0,1.988261,3.414219,-1.414214,3.000000
22.362000,3,0,2,1.998463,2.002448,3.020922,-0.011469,-0.019645,0.000000,0.022748,0.151200,1.999362,0,1.988261,3.414220,3.414213,3.000000
22.362000,3,0,3,-0.000640,2.016913,2.997464,0.007384,-0.019112,0.000000,0.020489,0.151200,1.987617,0,1.988261,-1.414207,3.414214,3.000000
22.510000,3,0,0,-0.000357,0.018492,2.973770,0.002126,-0.014630,0.000000,0.014784,0.240000,2.012863,0,1.990581,-1.414207,-1.414214,3.000000
22.510000,3,0,1,1.990107,-0.003130,2.980651,0.017829,-0.012697,0.000000,0.021888,0.240000,2.004807,0,1.990581,3.414219,-1.414214,3.000000
22.510000,3,0,2,1.998147,2.001368,3.019500,-0.002140,-0.007299,0.000000,0.007606,0.240000,2.000349,0,1.990581,3.414220,3.414213,3.000000
22.510000,3,0,3,-0.001083,2.015981,2.996508,-0.002990,-0.006296,0.000000,0.006970,0.240000,1.987957,0,1.990581,-1.414207,3.414214,3.000000
22.616000,3,0,0,-0.001434,0.016408,2.974280,-0.010165,-0.019662,0.000000,0.022134,0.303600,2.010623,0,1.993928,-1.414207,-1.414214,3.000000
22.616000,3,0,1,1.992378,-0.005069,2.980808,0.021426,-0.018296,0.000000,0.028175,0.303600,2.001829,0,1.993928,3.414219,-1.414214,3.000000
22.616000,3,0,2,1.999141,2.002152,3.018558,0.009379,0.007399,0.000000,0.011946,0.303600,1.999091,0,1.993928,3.414220,3.414213,3.000000
22.616000,3,0,3,-0.002469,2.016843,2.996058,-0.013076,0.008129,0.000000,0.015397,0.303600,1.986366,0,1.993928,-1.414207,3.414214,3.000000
22.760000,3,0,0,-0.007529,0.008561,2.975534,-0.042329,-0.054493,0.000000,0.069002,0.390000,2.000757,0,2.008353,-1.414207,-1.414214,3.000000
22.760000,3,0,1,2.000712,-0.012587,2.981105,0.057872,-0.052205,0.000000,0.077939,0.390000,1.990618,0,2.008353,3.414219,-1.414214,3.000000
22.760000,3,0,2,2.004980,2.007836,3.016651,0.040549,0.039471,0.000000,0.056587,0.390000,1.990943,0,2.008353,3.414220,3.414213,3.000000
22.760000,3,0,3,-0.009189,2.022590,2.995514,-0.046665,0.039910,0.000000,0.061404,0.390000,1.977548,0,2.008353,-1.414207,3.414214,3.000000
22.860000,3,0,0,-0.013642,0.001597,2.976304,-0.061126,-0.069635,0.000000,0.092658,0.450000,1.991508,0,2.021778,-1.414207,-1.414214,3.000000
22.860000,3,0,1,2.008028,-0.019235,2.981272,0.073165,-0.066481,0.000000,0.098857,0.450000,1.980742,0,2.021778,3.414219,-1.414214,3.000000
22.860000,3,0,2,2.010910,2.013804,3.015801,0.059305,0.059680,0.000000,0.084135,0.450000,1.982530,0,2.021778,3.414220,3.414213,3.000000
22.860000,3,0,3,-0.015692,2.028521,2.995400,-0.065036,0.059310,0.000000,0.088019,0.450000,1.968753,0,2.021778,-1.414207,3.414214,3.000000
22.962000,3,0,0,-0.027351,-0.013333,2.977538,-0.134403,-0.146377,0.000000,0.198722,0.511199,1.971252,0,2.051048,-1.414207,-1.414214,3.000000
22.962000,3,0,1,2.023599,-0.033382,2.981568,0.152647,-0.138702,0.000000,0.206251,0.511200,1.959725,0,2.051048,3.414219,-1.414214,3.000000
22.962000,3,0,2,2.024265,2.027341,3.014913,0.130925,0.132710,0.000000,0.186423,0.511200,1.963515,0,2.051048,3.414220,3.414213,3.000000
