seq,raw_timestamp,effective_timestamp,stamp_shift,self_id,target_id,filtered_distance,latest_raw_distance,gt_distance_latest,window_size,window_span,window_lag,reject_count
0,3.672000,3.672000,0.000000,0,1,1.942696,1.942696,2.000000,1,0.000000,0.000000,0
0,3.672000,3.672000,0.000000,0,2,2.753627,2.753627,2.828427,1,0.000000,0.000000,0
0,3.672000,3.672000,0.000000,0,3,1.982141,1.982141,2.000000,1,0.000000,0.000000,0
1,3.672000,3.672000,0.000000,0,1,2.014128,2.085560,2.000000,2,0.000000,0.000000,0
1,3.672000,3.672000,0.000000,0,2,2.741281,2.728935,2.828427,2,0.000000,0.000000,0
1,3.672000,3.672000,0.000000,0,3,1.985356,1.988570,2.000000,2,0.000000,0.000000,0
2,3.712000,3.685333,-0.026667,0,1,2.017283,2.023592,2.000000,3,0.040000,0.026667,0
2,3.712000,3.685333,-0.026667,0,2,2.759723,2.796608,2.828427,3,0.040000,0.026667,0
2,3.712000,3.685333,-0.026667,0,3,2.011705,2.064404,2.000000,3,0.040000,0.026667,0
3,3.752000,3.702000,-0.050000,0,1,2.044965,2.128011,2.000000,4,0.080000,0.050000,0
3,3.752000,3.702000,-0.050000,0,2,2.738292,2.673997,2.828427,4,0.080000,0.050000,0
3,3.752000,3.702000,-0.050000,0,3,2.047843,2.156254,2.000000,4,0.080000,0.050000,0
4,3.792000,3.720000,-0.072000,0,1,2.029007,1.965175,2.000000,5,0.120000,0.072000,0
4,3.792000,3.720000,-0.072000,0,2,2.784682,2.970242,2.828427,5,0.120000,0.072000,0
4,3.792000,3.720000,-0.072000,0,3,2.034553,1.981396,2.000000,5,0.120000,0.072000,0
5,3.832000,3.752000,-0.080000,0,1,2.038975,1.992535,2.000000,5,0.160000,0.080000,0
5,3.832000,3.752000,-0.080000,0,2,2.787701,2.768724,2.828427,5,0.160000,0.080000,0
5,3.832000,3.752000,-0.080000,0,3,2.051993,2.069338,2.000000,5,0.160000,0.080000,0
6,3.872000,3.792000,-0.080000,0,1,2.035161,2.066491,2.000000,5,0.160000,0.080000,0
6,3.872000,3.792000,-0.080000,0,2,2.813285,2.856857,2.828427,5,0.160000,0.080000,0
6,3.872000,3.792000,-0.080000,0,3,2.048849,1.972852,2.000000,5,0.160000,0.080000,0
7,3.912000,3.832000,-0.080000,0,1,2.039189,2.043733,2.000000,5,0.160000,0.080000,0
7,3.912000,3.832000,-0.080000,0,2,2.817741,2.818885,2.828427,5,0.160000,0.080000,0
7,3.912000,3.832000,-0.080000,0,3,2.041664,2.028479,2.000000,5,0.160000,0.080000,0
8,3.952000,3.872000,-0.080000,0,1,1.996043,1.912281,2.000000,5,0.160000,0.080000,0
8,3.952000,3.872000,-0.080000,0,2,2.860669,2.888638,2.828427,5,0.160000,0.080000,0
8,3.952000,3.872000,-0.080000,0,3,2.017442,2.035146,2.000000,5,0.160000,0.080000,0
9,3.992000,3.912000,-0.080000,0,1,2.006758,2.018752,2.000000,5,0.160000,0.080000,0
9,3.992000,3.912000,-0.080000,0,2,2.830034,2.817067,2.828427,5,0.160000,0.080000,0
9,3.992000,3.912000,-0.080000,0,3,2.026974,2.029054,2.000000,5,0.160000,0.080000,0
10,4.032000,3.952000,-0.080000,0,1,2.030801,2.112746,2.000000,5,0.160000,0.080000,0
10,4.032000,3.952000,-0.080000,0,2,2.852897,2.883039,2.828427,5,0.160000,0.080000,0
10,4.032000,3.952000,-0.080000,0,3,2.008462,1.976781,2.000000,5,0.160000,0.080000,0
11,4.072000,3.992000,-0.080000,0,1,2.012941,1.977193,2.000000,5,0.160000,0.080000,0
11,4.072000,3.992000,-0.080000,0,2,2.853884,2.861789,2.828427,5,0.160000,0.080000,0
11,4.072000,3.992000,-0.080000,0,3,2.025889,2.059987,2.000000,5,0.160000,0.080000,0
12,4.112000,4.032000,-0.080000,0,1,2.011993,2.038990,2.000000,5,0.160000,0.080000,0
12,4.112000,4.032000,-0.080000,0,2,2.836389,2.731412,2.828427,5,0.160000,0.080000,0
12,4.112000,4.032000,-0.080000,0,3,2.002560,1.911833,2.000000,5,0.160000,0.080000,0
13,4.152000,4.072000,-0.080000,0,1,2.069716,2.200900,2.000000,5,0.160000,0.080000,0
13,4.152000,4.072000,-0.080000,0,2,2.842169,2.917536,2.828427,5,0.160000,0.080000,0
13,4.152000,4.072000,-0.080000,0,3,2.013444,2.089564,2.000000,5,0.160000,0.080000,0
14,4.192000,4.112000,-0.080000,0,1,2.064562,1.992980,2.000000,5,0.160000,0.080000,0
14,4.192000,4.112000,-0.080000,0,2,2.851685,2.864646,2.828427,5,0.160000,0.080000,0
14,4.192000,4.112000,-0.080000,0,3,2.002068,1.972176,2.000000,5,0.160000,0.080000,0
15,4.232000,4.152000,-0.080000,0,1,2.072792,2.153899,2.000000,5,0.160000,0.080000,0
15,4.232000,4.152000,-0.080000,0,2,2.833988,2.794559,2.828427,5,0.160000,0.080000,0
15,4.232000,4.152000,-0.080000,0,3,2.044102,2.186953,2.000000,5,0.160000,0.080000,0
16,4.272000,4.192000,-0.080000,0,1,2.081303,2.019747,2.000000,5,0.160000,0.080000,0
16,4.272000,4.192000,-0.080000,0,2,2.855268,2.968189,2.828427,5,0.160000,0.080000,0
16,4.272000,4.192000,-0.080000,0,3,2.034980,2.014373,2.000000,5,0.160000,0.080000,0
17,4.312000,4.232000,-0.080000,0,1,2.070163,1.983291,2.000000,5,0.160000,0.080000,0
17,4.312000,4.232000,-0.080000,0,2,2.878098,2.845560,2.828427,5,0.160000,0.080000,0
17,4.312000,4.232000,-0.080000,0,3,2.082047,2.147168,2.000000,5,0.160000,0.080000,0
18,4.352000,4.272000,-0.080000,0,1,2.040772,2.053943,2.000000,5,0.160000,0.080000,0
18,4.352000,4.272000,-0.080000,0,2,2.872868,2.891387,2.828427,5,0.160000,0.080000,0
18,4.352000,4.272000,-0.080000,0,3,2.055987,1.959268,2.000000,5,0.160000,0.080000,0
19,4.392000,4.312000,-0.080000,0,1,2.036376,1.970999,2.000000,5,0.160000,0.080000,0
19,4.392000,4.312000,-0.080000,0,2,2.873159,2.866103,2.828427,5,0.160000,0.080000,0
19,4.392000,4.312000,-0.080000,0,3,2.055238,1.968428,2.000000,5,0.160000,0.080000,0
20,4.432000,4.352000,-0.080000,0,1,1.993651,1.940275,2.000000,5,0.160000,0.080000,0
20,4.432000,4.352000,-0.080000,0,2,2.878507,2.821294,2.828427,5,0.160000,0.080000,0
20,4.432000,4.352000,-0.080000,0,3,1.991929,1.870411,2.000000,5,0.160000,0.080000,0
21,4.472000,4.392000,-0.080000,0,1,1.999966,2.051323,2.000000,5,0.160000,0.080000,0
21,4.472000,4.392000,-0.080000,0,2,2.859467,2.872989,2.828427,5,0.160000,0.080000,0
21,4.472000,4.392000,-0.080000,0,3,1.971386,1.911656,2.000000,5,0.160000,0.080000,0
22,4.512000,4.432000,-0.080000,0,1,2.010500,2.035961,2.000000,5,0.160000,0.080000,0
22,4.512000,4.432000,-0.080000,0,2,2.854691,2.821681,2.828427,5,0.160000,0.080000,0
22,4.512000,4.432000,-0.080000,0,3,1.929758,1.939027,2.000000,5,0.160000,0.080000,0
23,4.554000,4.472400,-0.081600,0,1,2.003169,2.017285,2.000000,5,0.162000,0.081600,0
23,4.554000,4.472400,-0.081600,0,2,2.858760,2.911734,2.828427,5,0.162000,0.081600,0
23,4.554000,4.472400,-0.081600,0,3,1.919227,1.906616,2.000000,5,0.162000,0.081600,0
24,4.592000,4.512400,-0.079600,0,1,2.012421,2.017261,2.000000,5,0.160000,0.079600,0
24,4.592000,4.512400,-0.079600,0,2,2.869700,2.920800,2.828427,5,0.160000,0.079600,0
24,4.592000,4.512400,-0.079600,0,3,1.948933,2.116954,2.000000,5,0.160000,0.079600,0
25,4.632000,4.552400,-0.079600,0,1,2.024971,2.003024,2.000000,5,0.160000,0.079600,0
25,4.632000,4.552400,-0.079600,0,2,2.875031,2.847949,2.828427,5,0.160000,0.079600,0
25,4.632000,4.552400,-0.079600,0,3,1.959000,1.920747,2.000000,5,0.160000,0.079600,0
26,4.672000,4.592400,-0.079600,0,1,1.974302,1.797981,2.000000,5,0.160000,0.079600,0
26,4.672000,4.592400,-0.079600,0,2,2.886819,2.931932,2.828427,5,0.160000,0.079600,0
26,4.672000,4.592400,-0.079600,0,3,1.982737,2.030340,2.000000,5,0.160000,0.079600,0
27,4.712000,4.632400,-0.079600,0,1,1.957510,1.951998,2.000000,5,0.158000,0.079600,0
27,4.712000,4.632400,-0.079600,0,2,2.862167,2.698421,2.828427,5,0.158000,0.079600,0
27,4.712000,4.632400,-0.079600,0,3,1.965266,1.851672,2.000000,5,0.158000,0.079600,0
28,4.752000,4.672000,-0.080000,0,1,1.965166,2.055566,2.000000,5,0.160000,0.080000,0
28,4.752000,4.672000,-0.080000,0,2,2.853206,2.866929,2.828427,5,0.160000,0.080000,0
28,4.752000,4.672000,-0.080000,0,3,1.980045,1.980514,2.000000,5,0.160000,0.080000,0
29,4.792000,4.712000,-0.080000,0,1,1.953126,1.957059,2.000000,5,0.160000,0.080000,0
29,4.792000,4.712000,-0.080000,0,2,2.828266,2.796097,2.828427,5,0.160000,0.080000,0
29,4.792000,4.712000,-0.080000,0,3,1.958455,2.009005,2.000000,5,0.160000,0.080000,0
30,4.834000,4.752400,-0.081600,0,1,1.920791,1.841350,2.000000,5,0.162000,0.081600,0
30,4.834000,4.752400,-0.081600,0,2,2.834944,2.881341,2.828427,5,0.162000,0.081600,0
30,4.834000,4.752400,-0.081600,0,3,1.994087,2.098903,2.000000,5,0.162000,0.081600,0
31,4.872000,4.792400,-0.079600,0,1,1.998991,2.188982,2.000000,5,0.160000,0.079600,0
31,4.872000,4.792400,-0.079600,0,2,2.814110,2.827763,2.828427,5,0.160000,0.079600,0
31,4.872000,4.792400,-0.079600,0,3,1.960889,1.864352,2.000000,5,0.160000,0.079600,0
32,4.912000,4.832400,-0.079600,0,1,2.030899,2.111536,2.000000,5,0.160000,0.079600,0
32,4.912000,4.832400,-0.079600,0,2,2.844663,2.851185,2.828427,5,0.160000,0.079600,0
32,4.912000,4.832400,-0.079600,0,3,2.003117,2.062810,2.000000,5,0.160000,0.079600,0
33,4.952000,4.872400,-0.079600,0,1,2.063986,2.221001,2.000000,5,0.160000,0.079600,0
33,4.952000,4.872400,-0.079600,0,2,2.845015,2.868687,2.828427,5,0.160000,0.079600,0
33,4.952000,4.872400,-0.079600,0,3,2.018944,2.059652,2.000000,5,0.160000,0.079600,0
34,4.992000,4.912400,-0.079600,0,1,2.055271,1.913485,2.000000,5,0.158000,0.079600,0
34,4.992000,4.912400,-0.079600,0,2,2.845963,2.800838,2.828427,5,0.158000,0.079600,0
34,4.992000,4.912400,-0.079600,0,3,2.048735,2.157957,2.000000,5,0.158000,0.079600,0
35,5.032000,4.952000,-0.080000,0,1,2.069967,1.914831,2.000000,5,0.160000,0.080000,0
35,5.032000,4.952000,-0.080000,0,2,2.830237,2.802714,2.828427,5,0.160000,0.080000,0
35,5.032000,4.952000,-0.080000,0,3,2.020236,1.956408,2.000000,5,0.160000,0.080000,0
36,5.072000,4.992000,-0.080000,0,1,2.010052,1.889405,2.000000,5,0.160000,0.080000,0
36,5.072000,4.992000,-0.080000,0,2,2.836390,2.858527,2.828427,5,0.160000,0.080000,0
36,5.072000,4.992000,-0.080000,0,3,2.065426,2.090303,2.000000,5,0.160000,0.080000,0
37,5.112000,5.032000,-0.080000,0,1,1.982273,1.972643,2.000000,5,0.160000,0.080000,0
37,5.112000,5.032000,-0.080000,0,2,2.814195,2.740211,2.828427,5,0.160000,0.080000,0
37,5.112000,5.032000,-0.080000,0,3,2.068427,2.077817,2.000000,5,0.160000,0.080000,0
38,5.152000,5.072000,-0.080000,0,1,1.900288,1.811074,2.000000,5,0.160000,0.080000,0
38,5.152000,5.072000,-0.080000,0,2,2.809821,2.846817,2.828427,5,0.160000,0.080000,0
38,5.152000,5.072000,-0.080000,0,3,2.052529,1.980158,2.000000,5,0.160000,0.080000,0
39,5.194000,5.112400,-0.081600,0,1,1.927769,2.050890,2.000000,5,0.162000,0.081600,0
39,5.194000,5.112400,-0.081600,0,2,2.804893,2.776195,2.828427,5,0.162000,0.081600,0
