seq,timestamp,self_id,target_id,distance,gt_distance
0,16.278000,3,0,1.941491,2.000000
0,16.278000,3,1,2.982012,2.828427
0,16.278000,3,2,2.124134,2.000000
1,16.312000,3,0,2.103445,2.000000
1,16.312000,3,1,2.855579,2.828427
1,16.312000,3,2,1.862993,2.000000
2,16.352000,3,0,2.021910,2.000000
2,16.352000,3,1,2.741679,2.828427
2,16.352000,3,2,1.852181,2.000000
3,16.392000,3,0,2.103347,2.000000
3,16.392000,3,1,2.860514,2.828427
3,16.392000,3,2,1.983009,2.000000
4,16.432000,3,0,2.068422,2.000000
4,16.432000,3,1,2.901839,2.828427
4,16.432000,3,2,2.054963,2.000000
5,16.472000,3,0,1.722422,2.000000
5,16.472000,3,1,2.783178,2.828427
5,16.472000,3,2,2.011283,2.000000
6,16.512000,3,0,2.035139,2.000000
6,16.512000,3,1,2.652766,2.828427
6,16.512000,3,2,1.952291,2.000000
7,16.552000,3,0,1.870516,2.000000
7,16.552000,3,1,2.809552,2.828427
7,16.552000,3,2,2.193705,2.000000
8,16.592000,3,0,2.098973,2.000000
8,16.592000,3,1,2.999231,2.828427
8,16.592000,3,2,2.086255,2.000000
9,16.632000,3,0,2.016000,2.000000
9,16.632000,3,1,2.755120,2.828427
9,16.632000,3,2,1.913664,2.000000
10,16.672000,3,0,2.059535,2.000000
10,16.672000,3,1,2.899337,2.828427
10,16.672000,3,2,1.944356,2.000000
11,16.712000,3,0,2.075056,2.000000
11,16.712000,3,1,2.710982,2.828427
11,16.712000,3,2,2.053914,2.000000
12,16.752000,3,0,2.029858,2.000000
12,16.752000,3,1,2.850999,2.828427
12,16.752000,3,2,1.912030,2.000000
13,16.792000,3,0,1.924237,2.000000
13,16.792000,3,1,2.862841,2.828427
13,16.792000,3,2,2.000512,2.000000
14,16.832000,3,0,2.098192,2.000000
14,16.832000,3,1,2.935106,2.828427
14,16.832000,3,2,2.109027,2.000000
15,16.872000,3,0,2.003290,2.000000
15,16.872000,3,1,2.706519,2.828427
15,16.872000,3,2,2.029946,2.000000
16,16.912000,3,0,2.054022,2.000000
16,16.912000,3,1,2.841706,2.828427
16,16.912000,3,2,2.039609,2.000000
17,16.952000,3,0,2.054120,2.000000
17,16.952000,3,1,2.711207,2.828427
17,16.952000,3,2,1.909912,2.000000
18,16.992000,3,0,1.971820,2.000000
18,16.992000,3,1,2.869206,2.828427
18,16.992000,3,2,1.887798,2.000000
19,17.032000,3,0,2.019829,2.000000
19,17.032000,3,1,2.889369,2.828427
19,17.032000,3,2,2.068348,2.000000
20,17.072000,3,0,2.175603,2.000000
20,17.072000,3,1,2.962411,2.828427
20,17.072000,3,2,1.980422,2.000000
21,17.112000,3,0,2.040658,2.000000
21,17.112000,3,1,2.814909,2.828427
21,17.112000,3,2,1.947203,2.000000
22,17.152000,3,0,2.024238,2.000000
22,17.152000,3,1,2.805360,2.828427
22,17.152000,3,2,2.019822,2.000000
23,17.192000,3,0,1.915961,2.000000
23,17.192000,3,1,2.885240,2.828427
23,17.192000,3,2,1.929413,2.000000
24,17.232000,3,0,1.931448,2.000000
24,17.232000,3,1,2.842396,2.828427
24,17.232000,3,2,1.855359,2.000000
25,17.272000,3,0,2.041973,2.000000
25,17.272000,3,1,2.876372,2.828427
25,17.272000,3,2,1.937424,2.000000
26,17.312000,3,0,1.929083,2.000000
26,17.312000,3,1,2.885216,2.828427
26,17.312000,3,2,1.789804,2.000000
27,17.356000,3,0,2.018145,2.000000
27,17.356000,3,1,2.863749,2.828427
27,17.356000,3,2,1.921599,2.000000
28,17.392000,3,0,1.940113,2.000000
28,17.392000,3,1,2.689871,2.828427
28,17.392000,3,2,2.056439,2.000000
29,17.432000,3,0,2.077840,2.000000
29,17.432000,3,1,2.913175,2.828427
29,17.432000,3,2,1.984162,2.000000
30,17.472000,3,0,1.861168,2.000000
30,17.472000,3,1,2.749474,2.828427
30,17.472000,3,2,1.985301,2.000000
31,17.512000,3,0,2.139251,2.000000
31,17.512000,3,1,2.896394,2.828427
31,17.512000,3,2,2.135629,2.000000
32,17.552000,3,0,2.075706,2.000000
32,17.552000,3,1,2.869794,2.828427
32,17.552000,3,2,1.945602,2.000000
33,17.592000,3,0,2.159622,2.000000
33,17.592000,3,1,2.897074,2.828427
33,17.592000,3,2,2.011013,2.000000
34,17.632000,3,0,1.942484,2.000000
34,17.632000,3,1,2.903830,2.828427
34,17.632000,3,2,2.045776,2.000000
35,17.672000,3,0,1.982475,2.000000
35,17.672000,3,1,2.874904,2.828427
35,17.672000,3,2,2.094613,2.000000
36,17.712000,3,0,2.049388,2.000000
36,17.712000,3,1,2.822238,2.828427
36,17.712000,3,2,1.820474,2.000000
37,17.752000,3,0,2.006976,2.000000
37,17.752000,3,1,2.789878,2.828427
37,17.752000,3,2,1.977316,2.000000
38,17.792000,3,0,1.849496,2.000000
38,17.792000,3,1,2.770093,2.828427
38,17.792000,3,2,1.950405,2.000000
39,17.836000,3,0,2.069193,2.000000
39,17.836000,3,1,2.899921,2.828427
39,17.836000,3,2,1.921650,2.000000
40,17.874000,3,0,2.001741,2.000000
40,17.874000,3,1,2.915763,2.828427
40,17.874000,3,2,1.978206,2.000000
41,17.912000,3,0,1.983096,2.000000
41,17.912000,3,1,2.807017,2.828427
41,17.912000,3,2,1.952354,2.000000
42,17.952000,3,0,1.871881,2.000000
42,17.952000,3,1,2.882388,2.828427
42,17.952000,3,2,1.938090,2.000000
43,17.992000,3,0,1.899849,2.000000
43,17.992000,3,1,2.810946,2.828427
43,17.992000,3,2,1.939266,2.000000
44,18.032000,3,0,1.926541,2.000000
44,18.032000,3,1,2.742243,2.828427
44,18.032000,3,2,2.037137,2.000000
45,18.072000,3,0,1.803702,2.000000
45,18.072000,3,1,2.831076,2.828427
45,18.072000,3,2,1.883024,2.000000
46,18.112000,3,0,1.990286,2.000000
46,18.112000,3,1,2.810637,2.828427
46,18.112000,3,2,2.024584,2.000000
47,18.152000,3,0,1.985402,2.000000
47,18.152000,3,1,2.846615,2.828427
47,18.152000,3,2,2.105988,2.000000
48,18.192000,3,0,1.918149,2.000000
48,18.192000,3,1,2.833708,2.828427
48,18.192000,3,2,1.956326,2.000000
49,18.232000,3,0,2.037742,2.000000
49,18.232000,3,1,2.827287,2.828427
49,18.232000,3,2,1.892065,2.000000
50,18.272000,3,0,2.083537,2.000000
50,18.272000,3,1,2.899467,2.828427
50,18.272000,3,2,2.041384,2.000000
51,18.312000,3,0,2.009013,2.000000
51,18.312000,3,1,2.856337,2.828427
51,18.312000,3,2,2.049956,2.000000
52,18.352000,3,0,2.102156,2.000000
52,18.352000,3,1,2.738348,2.828427
52,18.352000,3,2,2.045932,2.000000
53,18.392000,3,0,1.861603,2.000000
53,18.392000,3,1,2.830860,2.828427
53,18.392000,3,2,1.884302,2.000000
54,18.432000,3,0,2.050651,2.000000
54,18.432000,3,1,2.698834,2.828427
54,18.432000,3,2,2.126028,2.000000
55,18.472000,3,0,1.884012,2.000000
55,18.472000,3,1,2.806590,2.828427
55,18.472000,3,2,1.928575,2.000000
56,18.514000,3,0,2.067259,2.000000
56,18.514000,3,1,2.706825,2.828427
56,18.514000,3,2,2.016149,2.000000
57,18.552000,3,0,1.923608,2.000000
57,18.552000,3,1,2.951209,2.828427
57,18.552000,3,2,2.089939,2.000000
58,18.592000,3,0,2.084285,2.000000
58,18.592000,3,1,2.711149,2.828427
58,18.592000,3,2,1.971539,2.000000
59,18.632000,3,0,2.048089,2.000000
59,18.632000,3,1,2.897231,2.828427
59,18.632000,3,2,2.107125,2.000000
60,18.672000,3,0,2.064768,2.000000
