stamp,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_2,com_age_2,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
33.979111111,0,-0.069777778,0.069777778,-0.043111111,0.043111111,0.112888889,0.112888889,-0.009111111,0.009111111,-0.189111111,0.189111111,0.008888889,0.008888889,0.012888889,0.012888889,1,0.050000000,1,1,1,1,1,1,4,0.100991894,0.004550558,0.404992953
34.000074074,0,-0.022074074,0.022074074,0.037037037,0.037037037,-0.014962963,0.014962963,0.009925926,0.009925926,-0.210074074,0.210074074,0.007925926,0.007925926,-0.006074074,0.006074074,1,0.050000000,1,1,1,1,1,1,4,0.016372318,-0.008184952,0.417245879
34.034049383,0,0.045654321,0.045654321,-0.053308642,0.053308642,0.007654321,0.007654321,0.015950617,0.015950617,-0.044049383,0.044049383,-0.006049383,0.006049383,-0.002049383,0.002049383,1,0.050000000,1,2,1,1,1,1,4,0.032652153,-0.001287352,0.429612264
34.203094650,0,0.138905350,0.138905350,-0.059292181,0.059292181,-0.079613168,0.079613168,0.006905350,0.006905350,-0.213094650,0.213094650,0.004905350,0.004905350,0.016905350,0.016905350,1,0.050000000,1,2,1,1,1,1,4,0.026624382,0.069308524,0.560957313
34.251421125,0,-0.086252401,0.086252401,0.039739369,0.039739369,0.046513031,0.046513031,-0.001421125,0.001421125,-0.061421125,0.061421125,-0.001421125,0.001421125,0.010578875,0.010578875,1,0.050000000,1,2,1,1,1,1,4,-0.002152252,0.058676385,0.593969775
34.306897119,0,-0.032683127,0.032683127,0.017470508,0.017470508,0.015212620,0.015212620,-0.016897119,0.016897119,0.083102881,0.083102881,0.023102881,0.023102881,-0.004897119,0.004897119,1,0.050000000,1,2,1,1,1,1,4,0.016721096,0.037235600,0.648009988
34.564477976,0,-0.187044048,0.187044048,0.061522024,0.061522024,0.125522024,0.125522024,0.005522024,0.005522024,-0.174477976,0.174477976,0.005522024,0.005522024,-0.000477976,0.000477976,1,0.050000000,1,2,1,1,1,1,4,0.035234729,-0.012530820,0.810482311
34.604615963,0,-0.085246050,0.085246050,0.119384037,0.119384037,-0.034137987,0.034137987,0.005384037,0.005384037,-0.014615963,0.014615963,0.005384037,0.005384037,-0.000615963,0.000615963,1,0.050000000,1,1,1,1,1,1,4,-0.052434598,0.001694869,0.837676095
34.716258429,0,-0.008925096,0.008925096,-0.164816474,0.164816474,0.173741571,0.173741571,0.013741571,0.013741571,-0.126258429,0.126258429,-0.008258429,0.008258429,-0.000258429,0.000258429,1,0.050000000,1,1,1,1,1,1,4,0.029286224,0.030151907,0.923462721
34.832456513,0,0.107543487,0.107543487,0.002654598,0.002654598,-0.110198084,0.110198084,0.017543487,0.017543487,-0.042456513,0.042456513,-0.004456513,0.004456513,0.005543487,0.005543487,1,0.050000000,1,1,1,1,1,1,4,-0.034549902,0.027985823,1.011121712
34.898497850,0,-0.020794146,0.020794146,-0.008411707,0.008411707,0.029205854,0.029205854,-0.008497850,0.008497850,-0.108497850,0.108497850,0.009502150,0.009502150,-0.018497850,0.018497850,1,0.050000000,1,1,1,1,1,1,4,0.020229665,0.034319226,1.079465614
35.256000000,0,-0.004000000,0.004000000,-0.032000000,0.032000000,0.036000000,0.036000000,-0.006000000,0.006000000,-0.166000000,0.166000000,-0.008000000,0.008000000,-0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,0.026942276,0.003806438,1.311635925
35.250666667,0,-0.044000000,0.044000000,0.033333333,0.033333333,0.010666666,0.010666666,-0.000666667,0.000666667,0.039333333,0.039333333,-0.002666667,0.002666667,-0.006666667,0.006666667,1,0.050000000,1,1,1,1,1,1,4,0.039444827,-0.007642011,1.311635925
35.261629630,0,0.033037037,0.033037037,-0.020296297,0.020296297,-0.012740741,0.012740741,-0.011629630,0.011629630,0.028370370,0.028370370,0.006370370,0.006370370,-0.017629630,0.017629630,1,0.050000000,1,1,1,1,1,1,4,0.026015874,-0.045438574,1.325137809
35.637777778,0,0.002222222,0.002222222,-0.056444445,0.056444445,0.054222222,0.054222222,0.012222222,0.012222222,-0.147777778,0.147777778,0.010222222,0.010222222,0.010222222,0.010222222,1,0.050000000,1,1,1,1,1,1,4,-0.001687242,0.063233578,1.598076905
35.638962963,0,-0.045185185,0.045185185,0.041037037,0.041037037,0.004148148,0.004148148,0.011037037,0.011037037,0.051037037,0.051037037,0.009037037,0.009037037,0.009037037,0.009037037,1,0.050000000,1,1,1,1,1,1,4,-0.037724001,0.040888050,1.598076905
35.651802469,0,0.041530864,0.041530864,-0.026913580,0.026913580,-0.014617284,0.014617284,-0.001802469,0.001802469,0.038197531,0.038197531,-0.003802469,0.003802469,-0.001802469,0.001802469,1,0.050000000,1,1,1,1,1,1,4,-0.061154061,0.002680189,1.598076905
