stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
14.900000000,pre,3,0,0.018000000,-0.078000000,-0.100000000,0.007353196,-2.010424707,0.113004569,-0.027884068,-1.990169502,0.087659870,1.985584117,1.992294261,-0.006710144,nan,nan,nan,nan,nan,nan,nan,nan,0.018010412,nan,nan,0.000000000,0,0,0
14.900000000,pre,3,1,0.018000000,-0.078000000,0.114000000,2.013034246,-2.008873176,0.000795892,1.951236901,-2.009873174,0.015087638,2.849374670,2.801275291,0.048099379,nan,nan,nan,nan,nan,nan,nan,nan,0.925420102,nan,nan,0.000000000,0,0,0
14.900000000,pre,3,2,0.018000000,-0.078000000,0.104000000,1.987136658,0.007757692,-0.003094918,2.017289967,-0.012769523,0.015632433,1.980126863,2.017390949,-0.037264087,-0.019949088,-0.006329954,-0.013619134,-0.010255720,0.007748914,-0.018004634,-0.037661215,-0.026727505,0.555444861,0.475463268,0.812631231,0.000000000,1,1,1
14.900000000,post,3,0,0.018000000,-0.078000000,-0.100000000,0.007353196,-2.010424707,0.113004569,-0.049780868,-2.016304032,0.087659870,1.985584117,2.018822513,-0.033238396,nan,nan,nan,nan,nan,nan,nan,nan,0.441916386,nan,nan,0.000000000,0,0,0
14.900000000,post,3,1,0.018000000,-0.078000000,0.114000000,2.013034246,-2.008873176,0.000795892,1.929340101,-2.036007704,0.015087638,2.849374670,2.804979186,0.044395484,nan,nan,nan,nan,nan,nan,nan,nan,0.788383591,nan,nan,0.000000000,0,0,0
14.900000000,post,3,2,0.018000000,-0.078000000,0.104000000,1.987136658,0.007757692,-0.003094918,1.995393167,-0.038904053,0.015632433,1.980126863,1.995833608,-0.015706745,-0.019949088,-0.019494466,-0.000454622,-0.010255720,0.007832613,-0.018088333,-0.015764416,-0.000592974,0.098680733,0.228059945,0.099507915,0.000000000,1,1,1
15.000000000,pre,3,0,-0.002000000,-0.178000000,-0.100000000,0.006505959,-2.009691298,0.113883359,-0.069259323,-1.974283514,0.085280569,1.995150271,1.977337863,0.017812408,nan,nan,nan,nan,nan,nan,nan,nan,0.126912758,nan,nan,0.000000000,0,0,0
15.000000000,pre,3,1,-0.002000000,-0.178000000,0.116000000,2.014433334,-2.009662821,0.000136066,1.929476963,-2.035030134,0.005820271,2.855891843,2.804329309,0.051562534,nan,nan,nan,nan,nan,nan,nan,nan,1.063477971,nan,nan,0.000000000,0,0,0
15.000000000,pre,3,2,-0.002000000,-0.178000000,0.106000000,1.986347627,0.008706762,-0.004045094,1.992386337,-0.036423836,0.016456348,2.021221837,1.992787200,0.028434637,-0.019949088,-0.018279477,-0.001669611,-0.010255720,0.008258050,-0.018513769,0.028327051,-0.003892901,0.323411443,0.242376460,0.325892483,0.000000000,1,1,1
15.000000000,post,3,0,-0.002000000,-0.178000000,-0.100000000,0.006505959,-2.009691298,0.113883359,-0.035373968,-1.988450107,0.085280569,1.995150271,1.990592354,0.004557917,nan,nan,nan,nan,nan,nan,nan,nan,0.008309844,nan,nan,0.021582554,0,0,0
15.000000000,post,3,1,-0.002000000,-0.178000000,0.116000000,2.014433334,-2.009662821,0.000136066,1.963362317,-2.049196727,0.005820271,2.855891843,2.837962771,0.017929072,nan,nan,nan,nan,nan,nan,nan,nan,0.128580649,nan,nan,0.021582554,0,0,0
15.000000000,post,3,2,-0.002000000,-0.178000000,0.106000000,1.986347627,0.008706762,-0.004045094,2.026271692,-0.050590429,0.016456348,2.021221837,2.026969949,-0.005748111,-0.019949088,-0.024962063,0.005012975,-0.010255720,0.008118783,-0.018374503,-0.005558304,0.010273691,0.013216313,0.268888097,0.047154205,0.021582554,1,1,1
15.100000000,pre,3,0,0.018000000,-0.078000000,-0.100000000,0.005580515,-2.008927534,0.113577423,-0.052200023,-2.001432263,0.076680696,2.012180472,2.003580764,0.008599708,nan,nan,nan,nan,nan,nan,nan,nan,0.029581993,nan,nan,0.000000000,0,0,0
15.100000000,pre,3,1,0.018000000,-0.078000000,0.116000000,2.015582828,-2.010366311,-0.000585984,1.964333008,-2.054364413,0.013834552,2.872062317,2.842394889,0.029667428,nan,nan,nan,nan,nan,nan,nan,nan,0.352062510,nan,nan,0.000000000,0,0,0
