seq,timestamp,self_id,target_id,distance,gt_distance
0,4.532000,1,0,2.014953,2.000000
0,4.532000,1,2,1.896120,2.000000
0,4.532000,1,3,2.876100,2.828427
1,4.532000,1,0,1.898749,2.000000
1,4.532000,1,2,1.963256,2.000000
1,4.532000,1,3,2.846938,2.828427
2,4.572000,1,0,2.047726,2.000000
2,4.572000,1,2,2.057018,2.000000
2,4.572000,1,3,2.824721,2.828427
3,4.612000,1,0,2.056454,2.000000
3,4.612000,1,2,2.066461,2.000000
3,4.612000,1,3,2.700019,2.828427
4,4.652000,1,0,2.064045,2.000000
4,4.652000,1,2,2.062059,2.000000
4,4.652000,1,3,2.806748,2.828427
5,4.692000,1,0,1.827690,2.000000
5,4.692000,1,2,2.010134,2.000000
5,4.692000,1,3,2.760340,2.828427
6,4.732000,1,0,2.014380,2.000000
6,4.732000,1,2,1.930431,2.000000
6,4.732000,1,3,2.867987,2.828427
7,4.772000,1,0,2.046221,2.000000
7,4.772000,1,2,1.981157,2.000000
7,4.772000,1,3,2.882560,2.828427
8,4.812000,1,0,2.049479,2.000000
8,4.812000,1,2,1.995184,2.000000
8,4.812000,1,3,2.707555,2.828427
9,4.852000,1,0,1.907210,2.000000
9,4.852000,1,2,1.972739,2.000000
9,4.852000,1,3,3.011915,2.828427
10,4.892000,1,0,2.018507,2.000000
10,4.892000,1,2,1.989151,2.000000
10,4.892000,1,3,2.809714,2.828427
11,4.932000,1,0,1.962541,2.000000
11,4.932000,1,2,1.973085,2.000000
11,4.932000,1,3,2.802521,2.828427
12,4.972000,1,0,2.055828,2.000000
12,4.972000,1,2,2.029973,2.000000
12,4.972000,1,3,2.889757,2.828427
13,5.012000,1,0,2.070617,2.000000
13,5.012000,1,2,2.008164,2.000000
13,5.012000,1,3,3.117827,2.828427
14,5.054000,1,0,1.944059,2.000000
14,5.054000,1,2,2.035803,2.000000
14,5.054000,1,3,2.961463,2.828427
15,5.092000,1,0,2.032754,2.000000
15,5.092000,1,2,2.058072,2.000000
15,5.092000,1,3,2.839026,2.828427
16,5.132000,1,0,1.890657,2.000000
16,5.132000,1,2,2.054571,2.000000
16,5.132000,1,3,2.939872,2.828427
17,5.172000,1,0,2.162344,2.000000
17,5.172000,1,2,2.009106,2.000000
17,5.172000,1,3,2.833191,2.828427
18,5.212000,1,0,1.899984,2.000000
18,5.212000,1,2,2.007605,2.000000
18,5.212000,1,3,2.982702,2.828427
19,5.252000,1,0,2.073808,2.000000
19,5.252000,1,2,1.895021,2.000000
19,5.252000,1,3,2.806692,2.828427
20,5.292000,1,0,1.969265,2.000000
20,5.292000,1,2,1.891109,2.000000
20,5.292000,1,3,2.842398,2.828427
21,5.332000,1,0,2.010894,2.000000
21,5.332000,1,2,1.984362,2.000000
21,5.332000,1,3,2.925178,2.828427
22,5.372000,1,0,1.827536,2.000000
22,5.372000,1,2,1.967405,2.000000
22,5.372000,1,3,2.861387,2.828427
23,5.412000,1,0,2.035423,2.000000
23,5.412000,1,2,2.008933,2.000000
23,5.412000,1,3,2.804743,2.828427
24,5.452000,1,0,1.977646,2.000000
24,5.452000,1,2,2.121131,2.000000
24,5.452000,1,3,2.725814,2.828427
25,5.492000,1,0,2.015794,2.000000
25,5.492000,1,2,1.989209,2.000000
25,5.492000,1,3,2.785326,2.828427
26,5.532000,1,0,2.030686,2.000000
26,5.532000,1,2,2.148315,2.000000
26,5.532000,1,3,2.956199,2.828427
27,5.572000,1,0,2.150872,2.000000
27,5.572000,1,2,1.954213,2.000000
27,5.572000,1,3,2.957571,2.828427
28,5.612000,1,0,2.152191,2.000000
28,5.612000,1,2,2.050289,2.000000
28,5.612000,1,3,2.871257,2.828427
29,5.652000,1,0,1.910171,2.000000
29,5.652000,1,2,2.047334,2.000000
29,5.652000,1,3,2.869813,2.828427
30,5.692000,1,0,2.088972,2.000000
30,5.692000,1,2,2.089576,2.000000
30,5.692000,1,3,2.873204,2.828427
31,5.732000,1,0,2.056327,2.000000
31,5.732000,1,2,2.055156,2.000000
31,5.732000,1,3,2.843632,2.828427
32,5.772000,1,0,1.990701,2.000000
32,5.772000,1,2,1.954254,2.000000
32,5.772000,1,3,2.928015,2.828427
33,5.816000,1,0,2.151285,2.000000
33,5.816000,1,2,2.055459,2.000000
33,5.816000,1,3,2.824136,2.828427
