stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
26.640000,3,0,0,-0.017593,0.033285,3.006067,0.000000,0.000000,0.000000,0.000000,0.030000,2.011411,0,1.973480,-1.414204,-1.414214,3.000000
26.640000,3,0,1,2.000130,0.031438,2.973531,0.000000,0.000000,0.000000,0.000000,0.030000,2.022268,0,1.973480,3.414224,-1.414214,3.000000
26.640000,3,0,2,1.995845,2.004913,3.012836,0.000000,0.000000,0.000000,0.000000,0.030000,1.999481,0,1.973480,3.414223,3.414214,3.000000
26.640000,3,0,3,-0.007828,2.020573,2.996698,0.000000,0.000000,0.000000,0.000000,0.030000,1.979931,0,1.973480,-1.414203,3.414214,3.000000
26.740000,3,0,0,-0.014715,0.033480,3.008929,0.028781,0.001944,0.000000,0.028847,0.090000,2.013550,0,1.974722,-1.414204,-1.414214,3.000000
26.740000,3,0,1,2.002226,0.029554,2.975599,0.020958,-0.018840,0.000000,0.028181,0.090000,2.019456,0,1.974722,3.414224,-1.414214,3.000000
26.740000,3,0,2,1.996966,2.004269,3.014619,0.011215,-0.006443,0.000000,0.012934,0.090000,1.999140,0,1.974722,3.414223,3.414214,3.000000
26.740000,3,0,3,-0.005993,2.019580,2.999108,0.018350,-0.009931,0.000000,0.020865,0.090000,1.981933,0,1.974722,-1.414203,3.414214,3.000000
26.840000,3,0,0,-0.012928,0.033519,3.009383,0.017873,0.000389,0.000000,0.017877,0.150000,2.014821,0,1.975563,-1.414204,-1.414214,3.000000
26.840000,3,0,1,2.003577,0.028302,2.976558,0.013518,-0.012521,0.000000,0.018426,0.150000,2.017616,0,1.975563,3.414224,-1.414214,3.000000
26.840000,3,0,2,1.997785,2.003856,3.014506,0.008192,-0.004127,0.000000,0.009173,0.150000,1.998851,0,1.975563,3.414223,3.414214,3.000000
26.840000,3,0,3,-0.004937,2.019010,2.999621,0.010556,-0.005702,0.000000,0.011998,0.150000,1.983085,0,1.975563,-1.414203,3.414214,3.000000
26.940000,3,0,0,-0.010840,0.033094,3.008714,0.020873,-0.004249,0.000000,0.021301,0.210000,2.015968,0,1.977625,-1.414204,-1.414214,3.000000
26.940000,3,0,1,2.005963,0.026083,2.977608,0.023855,-0.022185,0.000000,0.032576,0.210000,2.014362,0,1.977625,3.414224,-1.414214,3.000000
