seq,timestamp,self_id,target_id,distance,gt_distance
0,8.558000,3,0,0.000000,0.000000
0,8.558000,3,1,0.000000,0.000000
0,8.558000,3,2,0.000000,0.000000
1,8.558000,3,0,0.000000,0.000000
1,8.558000,3,1,0.000000,0.000000
1,8.558000,3,2,0.000000,0.000000
2,8.600000,3,0,0.069044,0.000000
2,8.600000,3,1,0.000000,0.000000
2,8.600000,3,2,0.000000,0.000000
3,8.638000,3,0,0.078791,0.000000
3,8.638000,3,1,0.000000,0.000000
3,8.638000,3,2,0.061200,0.000000
4,8.678000,3,0,0.055539,0.000000
4,8.678000,3,1,0.171866,0.000000
4,8.678000,3,2,0.000000,0.000000
5,8.718000,3,0,0.064104,0.000000
5,8.718000,3,1,0.146478,0.000000
5,8.718000,3,2,0.000000,0.000000
6,8.758000,3,0,0.000000,0.000000
6,8.758000,3,1,0.026983,0.000000
6,8.758000,3,2,0.197551,0.000000
7,8.798000,3,0,0.000000,0.000000
7,8.798000,3,1,0.000000,0.000000
7,8.798000,3,2,0.000000,0.000000
8,8.838000,3,0,0.035957,0.000000
8,8.838000,3,1,0.094127,0.000000
8,8.838000,3,2,0.005469,0.000000
9,8.878000,3,0,0.000000,0.000000
9,8.878000,3,1,0.000000,0.000000
9,8.878000,3,2,0.000000,0.000000
10,8.918000,3,0,0.000000,0.000000
10,8.918000,3,1,0.011125,0.000000
10,8.918000,3,2,0.131325,0.000000
11,8.958000,3,0,0.000000,0.000000
11,8.958000,3,1,0.091989,0.000000
11,8.958000,3,2,0.000000,0.000000
12,8.998000,3,0,0.008119,0.000000
12,8.998000,3,1,0.105830,0.000000
12,8.998000,3,2,0.227414,0.000000
13,9.038000,3,0,0.087369,0.000000
13,9.038000,3,1,0.109792,0.000000
13,9.038000,3,2,0.000000,0.000000
14,9.078000,3,0,0.000000,0.000000
14,9.078000,3,1,0.000000,0.000000
14,9.078000,3,2,0.061368,0.000000
15,9.118000,3,0,0.000000,0.000000
15,9.118000,3,1,0.000491,0.000000
15,9.118000,3,2,0.015295,0.000000
16,9.158000,3,0,0.121793,0.000000
16,9.158000,3,1,0.000000,0.000000
16,9.158000,3,2,0.080094,0.000000
17,9.198000,3,0,1.979606,2.000000
17,9.198000,3,1,2.832986,2.828427
17,9.198000,3,2,2.083096,2.000000
18,9.238000,3,0,1.960268,2.000000
18,9.238000,3,1,2.735786,2.828427
18,9.238000,3,2,1.837780,2.000000
19,9.278000,3,0,2.027321,2.000000
19,9.278000,3,1,2.729457,2.828427
19,9.278000,3,2,1.935069,2.000000
20,9.318000,3,0,2.055757,2.000000
20,9.318000,3,1,2.778118,2.828427
20,9.318000,3,2,1.842497,2.000000
21,9.358000,3,0,2.095636,2.000000
21,9.358000,3,1,2.851852,2.828427
21,9.358000,3,2,2.064118,2.000000
22,9.398000,3,0,1.875085,2.000000
22,9.398000,3,1,2.803969,2.828427
22,9.398000,3,2,1.804706,2.000000
23,9.438000,3,0,2.065768,2.000000
23,9.438000,3,1,2.975911,2.828427
23,9.438000,3,2,1.933393,2.000000
24,9.478000,3,0,1.986586,2.000000
24,9.478000,3,1,2.836210,2.828427
24,9.478000,3,2,1.902605,2.000000
25,9.518000,3,0,2.121711,2.000000
25,9.518000,3,1,2.760736,2.828427
25,9.518000,3,2,1.989187,2.000000
26,9.558000,3,0,1.979233,2.000000
26,9.558000,3,1,2.999156,2.828427
26,9.558000,3,2,2.136466,2.000000
27,9.598000,3,0,2.195792,2.000000
27,9.598000,3,1,2.740548,2.828427
27,9.598000,3,2,2.121623,2.000000
28,9.638000,3,0,2.001071,2.000000
28,9.638000,3,1,2.733610,2.828427
28,9.638000,3,2,2.034334,2.000000
29,9.678000,3,0,2.099160,2.000000
29,9.678000,3,1,2.897617,2.828427
29,9.678000,3,2,2.023725,2.000000
30,9.718000,3,0,2.051169,2.000000
30,9.718000,3,1,2.822214,2.828427
30,9.718000,3,2,1.879632,2.000000
31,9.758000,3,0,2.021940,2.000000
31,9.758000,3,1,2.843731,2.828427
31,9.758000,3,2,1.876386,2.000000
32,9.798000,3,0,1.897637,2.000000
32,9.798000,3,1,2.768638,2.828427
32,9.798000,3,2,1.911378,2.000000
33,9.838000,3,0,2.119347,2.000000
33,9.838000,3,1,2.860060,2.828427
33,9.838000,3,2,2.113100,2.000000
34,9.878000,3,0,1.911216,2.000000
34,9.878000,3,1,2.787762,2.828427
34,9.878000,3,2,2.140374,2.000000
35,9.918000,3,0,2.075755,2.000000
