stamp,last_fuse_time,fuse_step,fuse_backtrack,dropped_fuse_count,rejected_fuse_count,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_2,com_age_2,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
14.600000000,0.000000000,0.000000000,0,0,91,0,0.144000000,0.144000000,0.184000000,0.184000000,0.150000000,0.150000000,-0.002000000,0.002000000,-0.028000000,0.028000000,-0.010000000,0.010000000,0.002000000,0.002000000,1,0.050000000,1,2,1,1,1,1,4,0.052621497,0.035856474,0.386238956
14.700000000,14.600000000,0.100000000,0,0,91,0,0.144000000,0.144000000,0.202000000,0.202000000,0.150000000,0.150000000,0.018000000,0.018000000,-0.028000000,0.028000000,0.010000000,0.010000000,0.016000000,0.016000000,1,0.050000000,1,2,1,1,1,1,4,0.025025826,0.015971703,0.462577014
14.800000000,14.700000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,0.148000000,0.148000000,-0.002000000,0.002000000,-0.026000000,0.026000000,-0.010000000,0.010000000,-0.008000000,0.008000000,1,0.050000000,1,2,1,1,1,1,4,0.023329850,0.023330319,0.509791659
14.900000000,14.800000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.126000000,0.126000000,0.008000000,0.008000000,0.004000000,0.004000000,1,0.050000000,1,2,1,1,1,1,4,0.046153216,0.023320350,0.588850278
15.000000000,14.900000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.026000000,0.026000000,-0.010000000,0.010000000,-0.018000000,0.018000000,1,0.050000000,1,2,1,1,1,1,4,0.036509250,-0.029099164,0.644058326
15.100000000,15.000000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.126000000,0.126000000,-0.010000000,0.010000000,-0.008000000,0.008000000,1,0.050000000,1,2,1,1,1,1,4,0.025139999,-0.037102598,0.722199730
15.200000000,15.100000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.126000000,0.126000000,-0.010000000,0.010000000,0.002000000,0.002000000,1,0.050000000,1,1,1,1,1,1,4,-0.006249913,-0.044942768,0.799556660
15.300000000,15.200000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.026000000,0.026000000,0.008000000,0.008000000,0.014000000,0.014000000,1,0.050000000,1,1,1,1,1,1,4,-0.014319985,-0.057565732,0.898696386
15.400000000,15.300000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.026000000,0.026000000,-0.010000000,0.010000000,-0.012000000,0.012000000,1,0.050000000,1,1,1,1,1,1,4,0.012613921,-0.043581114,0.938311115
15.500000000,15.400000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018400000,0.018400000,-0.126000000,0.126000000,0.008000000,0.008000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,0.012152278,-0.055529478,1.020610092
15.600000000,15.500000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.001600000,0.001600000,-0.026000000,0.026000000,0.010000000,0.010000000,0.008000000,0.008000000,1,0.050000000,1,1,1,1,1,1,4,0.000810223,-0.074510656,1.094689310
15.700000000,15.600000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.026000000,0.026000000,0.008000000,0.008000000,-0.014000000,0.014000000,1,0.050000000,1,1,1,1,1,1,4,-0.032486237,-0.065013720,1.155926778
15.800000000,15.700000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.126000000,0.126000000,0.008000000,0.008000000,0.002000000,0.002000000,1,0.050000000,1,1,1,1,1,1,4,-0.063138918,-0.064156577,1.222821880
15.900000000,15.800000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.026000000,0.026000000,0.008000000,0.008000000,0.018000000,0.018000000,1,0.050000000,1,1,1,1,1,1,4,-0.075973251,-0.061532866,1.286295012
16.000000000,15.900000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.126000000,0.126000000,-0.010000000,0.010000000,-0.004000000,0.004000000,1,0.050000000,1,1,1,1,1,1,4,-0.091189587,-0.037552452,1.338575595
16.100000000,16.000000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.126000000,0.126000000,0.008000000,0.008000000,0.008000000,0.008000000,1,0.050000000,1,1,1,1,1,1,4,-0.096025042,-0.066551868,1.420033433
16.200000000,16.100000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.026000000,0.026000000,0.010000000,0.010000000,-0.018000000,0.018000000,1,0.050000000,1,1,1,1,1,1,4,-0.064514365,-0.098267536,1.490560348
16.300000000,16.200000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.126000000,0.126000000,-0.010000000,0.010000000,-0.002000000,0.002000000,1,0.050000000,1,1,1,1,1,1,4,-0.061569241,-0.073700613,1.548856216
16.400000000,16.300000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.026000000,0.026000000,-0.010000000,0.010000000,0.008000000,0.008000000,1,0.050000000,1,1,1,1,1,1,4,-0.059988282,-0.096111673,1.625984731
16.500000000,16.400000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.026000000,0.026000000,-0.010000000,0.010000000,-0.014000000,0.014000000,1,0.050000000,1,1,1,1,1,1,4,-0.096625236,-0.092624211,1.690342317
16.600000000,16.500000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,-0.002000000,0.002000000,-0.026000000,0.026000000,0.008000000,0.008000000,0.000000000,0.000000000,1,0.050000000,1,1,1,1,1,1,4,-0.092849941,-0.077882501,1.779952503
16.700000000,16.600000000,0.100000000,0,0,91,0,-0.100000000,0.100000000,-0.100000000,0.100000000,-0.200000000,0.200000000,0.018000000,0.018000000,-0.126000000,0.126000000,-0.010000000,0.010000000,0.010000000,0.010000000,1,0.050000000,1,1,1,1,1,1,4,-0.044321923,-0.094294358,1.851432331
