stamp,oracle,com_dt_1,com_age_1,com_dt_2,com_age_2,com_dt_3,com_age_3,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
22.969703704,0,0.022962963,0.022962963,-0.014148148,0.014148148,-0.008814815,0.008814815,-0.019703704,0.019703704,-0.075703704,0.075703704,-0.003703704,0.003703704,-0.011703704,0.011703704,1,0.050000000,1,1,1,1,1,1,2,-0.045490119,-0.008226314,0.388083347
23.007802469,0,-0.007654321,0.007654321,0.004716050,0.004716050,0.002938272,0.002938272,-0.017802469,0.017802469,0.086197531,0.086197531,-0.001802469,0.001802469,-0.011802469,0.011802469,1,0.050000000,1,2,1,1,1,1,2,-0.037593955,-0.017836476,0.411891384
23.292666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,0.017333333,0.017333333,-0.198666667,0.198666667,-0.006666667,0.006666667,0.007333333,0.007333333,1,0.050000000,1,2,1,1,1,1,2,0.023937827,-0.008835259,0.587663104
23.197711934,0,0.002888889,0.002888889,-0.004444444,0.004444444,0.001555556,0.001555556,-0.007711934,0.007711934,-0.001711934,0.001711934,0.008288066,0.008288066,-0.013711934,0.013711934,1,0.050000000,1,2,1,1,1,1,2,-0.017967025,-0.009912279,0.532359867
23.229363512,0,-0.000962963,0.000962963,0.001481481,0.001481481,-0.000518519,0.000518519,0.000636488,0.000636488,-0.033363512,0.033363512,0.036636488,0.036636488,-0.003363512,0.003363512,1,0.050000000,1,2,1,1,1,1,2,0.032393745,-0.030334446,0.574492076
23.592666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,-0.002666667,0.002666667,-0.198666667,0.198666667,-0.008666667,0.008666667,0.007333333,0.007333333,1,0.050000000,1,2,1,1,1,1,2,-0.021865753,-0.033127978,0.793344575
23.589777778,0,0.002888889,0.002888889,-0.004444445,0.004444445,0.001555555,0.001555555,0.000222222,0.000222222,-0.195777778,0.195777778,-0.005777778,0.005777778,0.010222222,0.010222222,1,0.050000000,1,2,1,1,1,1,2,-0.039047493,-0.030337261,0.793344575
23.590740741,0,-0.000962963,0.000962963,0.001481481,0.001481481,-0.000518519,0.000518519,-0.000740741,0.000740741,0.003259259,0.003259259,-0.006740741,0.006740741,0.009259259,0.009259259,1,0.050000000,1,1,1,1,1,1,2,-0.033755083,-0.039893973,0.793344575
23.892666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,0.017333333,0.017333333,-0.298666667,0.298666667,-0.008666667,0.008666667,0.011333333,0.011333333,1,0.050000000,1,1,1,1,1,1,2,0.019905161,-0.010558062,1.027253404
23.889777778,0,0.002888889,0.002888889,-0.004444445,0.004444445,0.001555555,0.001555555,-0.019777778,0.019777778,-0.095777778,0.095777778,-0.005777778,0.005777778,0.014222222,0.014222222,1,0.050000000,1,1,1,1,1,1,2,0.033800198,-0.066660751,1.027253404
23.890740741,0,-0.000962963,0.000962963,0.001481481,0.001481481,-0.000518519,0.000518519,0.019259259,0.019259259,-0.096740741,0.096740741,-0.006740741,0.006740741,0.013259259,0.013259259,1,0.050000000,1,1,1,1,1,1,2,0.092880191,-0.049365165,1.027253404
24.190666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,0.001333333,0.001333333,-0.196666667,0.196666667,-0.004666667,0.004666667,-0.012666667,0.012666667,1,0.050000000,1,1,1,1,1,1,2,-0.006579306,-0.033511450,1.264540994
24.189111111,0,0.002888889,0.002888889,-0.004444444,0.004444444,0.001555556,0.001555556,0.002888889,0.002888889,-0.195111111,0.195111111,-0.003111111,0.003111111,-0.011111111,0.011111111,1,0.050000000,1,1,1,1,1,1,2,-0.010548046,-0.011285598,1.264540994
24.189629630,0,-0.000962963,0.000962963,0.001481481,0.001481481,-0.000518519,0.000518519,0.002370370,0.002370370,0.004370370,0.004370370,-0.003629630,0.003629630,-0.011629630,0.011629630,1,0.050000000,1,1,1,1,1,1,2,-0.008179596,-0.030529979,1.264540994
24.492666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,0.017333333,0.017333333,-0.098666667,0.098666667,-0.006666667,0.006666667,-0.010666667,0.010666667,1,0.050000000,1,1,1,1,1,1,2,0.016003642,0.004324748,1.474286735
24.490444444,0,0.002888889,0.002888889,-0.004444444,0.004444444,0.001555556,0.001555556,0.019555556,0.019555556,-0.096444444,0.096444444,-0.004444444,0.004444444,-0.008444444,0.008444444,1,0.050000000,1,1,1,1,1,1,2,0.039927247,0.007154309,1.474286735
24.491185185,0,-0.000962963,0.000962963,0.001481482,0.001481482,-0.000518518,0.000518518,0.018814815,0.018814815,-0.097185185,0.097185185,-0.005185185,0.005185185,-0.009185185,0.009185185,1,0.050000000,1,1,1,1,1,1,2,0.051275872,-0.037254880,1.474286735
24.791333333,0,-0.009333333,0.009333333,0.012666667,0.012666667,-0.003333333,0.003333333,-0.001333333,0.001333333,-0.199333333,0.199333333,-0.007333333,0.007333333,0.002666667,0.002666667,1,0.050000000,1,1,1,1,1,1,2,-0.031019014,-0.000974534,1.690500117
24.788888889,0,0.003111111,0.003111111,-0.004222222,0.004222222,0.001111111,0.001111111,0.001111111,0.001111111,-0.090888889,0.090888889,-0.004888889,0.004888889,0.005111111,0.005111111,1,0.050000000,1,1,1,1,1,1,2,0.001684440,0.032064449,1.690500117
24.789703704,0,-0.001037037,0.001037037,0.001407407,0.001407407,-0.000370371,0.000370371,0.000296296,0.000296296,-0.091703704,0.091703704,-0.005703704,0.005703704,0.004296296,0.004296296,1,0.050000000,1,1,1,1,1,1,2,-0.018789347,0.018398740,1.690500117
25.091333333,0,-0.009333333,0.009333333,0.014666667,0.014666667,-0.005333333,0.005333333,0.018666667,0.018666667,-0.197333333,0.197333333,-0.007333333,0.007333333,0.006666667,0.006666667,1,0.050000000,1,1,1,1,1,1,2,-0.107780867,-0.013275877,1.922367646
25.088888889,0,0.003111111,0.003111111,-0.004888889,0.004888889,0.001777778,0.001777778,-0.018888889,0.018888889,-0.194888889,0.194888889,-0.004888889,0.004888889,0.009111111,0.009111111,1,0.050000000,1,1,1,1,1,1,2,-0.055468959,0.031789065,1.922367646
25.089703704,0,-0.001037037,0.001037037,0.001629629,0.001629629,-0.000592593,0.000592593,-0.019703704,0.019703704,0.004296296,0.004296296,-0.005703704,0.005703704,0.008296296,0.008296296,1,0.050000000,1,1,1,1,1,1,2,-0.144971146,0.043156862,1.922367646
25.390666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,-0.000666667,0.000666667,-0.296666667,0.296666667,-0.006666667,0.006666667,0.007333333,0.007333333,1,0.050000000,1,1,1,1,1,1,2,0.022577750,0.007656613,2.138861510
25.388444444,0,0.002888889,0.002888889,-0.004444444,0.004444444,0.001555556,0.001555556,0.001555556,0.001555556,-0.092444444,0.092444444,-0.004444444,0.004444444,0.009555556,0.009555556,1,0.050000000,1,1,1,1,1,1,2,0.070453353,0.054734629,2.138861510
25.389185185,0,-0.000962963,0.000962963,0.001481482,0.001481482,-0.000518518,0.000518518,0.000814815,0.000814815,-0.093185185,0.093185185,-0.005185185,0.005185185,0.008814815,0.008814815,1,0.050000000,1,1,1,1,1,1,2,0.109406597,0.041877337,2.138861510
25.690666667,0,-0.008666667,0.008666667,0.013333333,0.013333333,-0.004666667,0.004666667,0.019333333,0.019333333,-0.194666667,0.194666667,-0.006666667,0.006666667,-0.000666667,0.000666667,1,0.050000000,1,1,1,1,1,1,2,-0.008308379,0.006208858,2.326756026
25.688444444,0,0.002888889,0.002888889,-0.004444444,0.004444444,0.001555556,0.001555556,-0.018444444,0.018444444,0.005555556,0.005555556,-0.004444444,0.004444444,-0.000444444,0.000444444,1,0.050000000,1,1,1,1,1,1,2,-0.041605341,0.020695030,2.326756026
25.689185185,0,-0.000962963,0.000962963,0.001481482,0.001481482,-0.000518518,0.000518518,-0.019185185,0.019185185,0.004814815,0.004814815,-0.005185185,0.005185185,0.000814815,0.000814815,1,0.050000000,1,1,1,1,1,1,2,-0.028460462,0.021630499,2.326756026
