seq,timestamp,self_id,target_id,filtered_distance,gt_distance
0,4.754000,0,1,1.855350,2.000000
0,4.754000,0,2,2.851393,2.828427
0,4.754000,0,3,1.922480,2.000000
1,4.754000,0,1,1.965502,2.000000
1,4.754000,0,2,2.799794,2.828427
1,4.754000,0,3,1.973010,2.000000
2,4.794000,0,1,1.955808,2.000000
2,4.794000,0,2,2.796697,2.828427
2,4.794000,0,3,1.969665,2.000000
3,4.834000,0,1,1.965824,2.000000
3,4.834000,0,2,2.831399,2.828427
3,4.834000,0,3,1.942752,2.000000
4,4.874000,0,1,1.989058,2.000000
4,4.874000,0,2,2.818474,2.828427
4,4.874000,0,3,1.939504,2.000000
5,4.914000,0,1,1.995509,2.000000
5,4.914000,0,2,2.778442,2.828427
5,4.914000,0,3,1.968500,2.000000
6,4.954000,0,1,1.991981,2.000000
6,4.954000,0,2,2.770223,2.828427
6,4.954000,0,3,1.965909,2.000000
7,4.994000,0,1,1.990626,2.000000
7,4.994000,0,2,2.781280,2.828427
7,4.994000,0,3,1.959214,2.000000
8,5.034000,0,1,2.002296,2.000000
8,5.034000,0,2,2.751144,2.828427
8,5.034000,0,3,1.981329,2.000000
9,5.074000,0,1,1.999253,2.000000
9,5.074000,0,2,2.772612,2.828427
9,5.074000,0,3,1.991328,2.000000
10,5.114000,0,1,2.027709,2.000000
10,5.114000,0,2,2.835101,2.828427
10,5.114000,0,3,1.992937,2.000000
11,5.154000,0,1,1.995319,2.000000
11,5.154000,0,2,2.867486,2.828427
11,5.154000,0,3,1.999375,2.000000
12,5.194000,0,1,2.039392,2.000000
12,5.194000,0,2,2.859523,2.828427
12,5.194000,0,3,2.006339,2.000000
13,5.234000,0,1,2.019233,2.000000
13,5.234000,0,2,2.862688,2.828427
13,5.234000,0,3,2.005252,2.000000
14,5.274000,0,1,1.990400,2.000000
14,5.274000,0,2,2.847341,2.828427
14,5.274000,0,3,2.013068,2.000000
15,5.314000,0,1,1.987376,2.000000
15,5.314000,0,2,2.846107,2.828427
15,5.314000,0,3,2.012387,2.000000
16,5.354000,0,1,2.008547,2.000000
16,5.354000,0,2,2.823716,2.828427
16,5.354000,0,3,2.015150,2.000000
17,5.394000,0,1,1.980017,2.000000
17,5.394000,0,2,2.839424,2.828427
17,5.394000,0,3,2.028734,2.000000
18,5.434000,0,1,1.982969,2.000000
18,5.434000,0,2,2.859544,2.828427
18,5.434000,0,3,2.033225,2.000000
19,5.474000,0,1,2.025177,2.000000
19,5.474000,0,2,2.888165,2.828427
19,5.474000,0,3,2.059478,2.000000
20,5.514000,0,1,2.026272,2.000000
20,5.514000,0,2,2.864707,2.828427
20,5.514000,0,3,2.076604,2.000000
