stamp,flow_imu_dt,flow_gt_dt,flow_x,flow_y,gyro_x,gyro_y,tof_raw,tof_noise,tof_meas,pz_meas,vx_body_raw,vy_body_raw,vx_noise_std,vy_noise_std,vx_noise,vy_noise,vx_body_meas,vy_body_meas,gt_vx_body,gt_vy_body,est_vx_body,est_vy_body,meas_minus_gt_vx,meas_minus_gt_vy,meas_minus_est_vx,meas_minus_est_vy,velocity_update_accepted,velocity_nis,attitude_update_enabled,recovery_update,dtheta_x,dtheta_y,dtheta_z,height_update_accepted
109.210614349,-0.020000000,0.008003871,-0.009872485,-0.021060526,-0.004424701,-0.000813489,1.081394553,-0.107944152,0.973450401,0.961535159,-0.005303147,-0.021293268,0.020007030,0.020113031,0.015704979,-0.006562619,0.010401832,-0.027855888,-0.000169475,-0.016900869,0.001787266,-0.027795987,0.010571308,-0.010955018,0.008614566,-0.000059900,1,0.154824214,1,0,-0.000000116,0.000122485,-0.000000740,1
109.314612221,-0.012000000,0.007997872,-0.008489416,-0.018677279,-0.000961782,0.000259690,1.064847350,0.007234108,1.072081458,1.060166216,-0.008070236,-0.019745156,0.020016276,0.020097231,0.018919388,0.042329084,0.010849152,0.022583928,0.000917812,-0.015865981,0.006371538,-0.025210648,0.009931340,0.038449909,0.004477615,0.047794576,1,4.824585467,1,0,-0.000668676,0.000065312,-0.000001777,1
109.422610094,-0.008000000,0.019997873,-0.007426413,-0.015283479,0.001979745,-0.002413266,0.993936598,0.065199578,1.059136176,1.047220934,-0.009962403,-0.018743263,0.020024797,0.020087635,-0.014145014,-0.018455813,-0.024107417,-0.037199076,0.002092793,-0.015332735,0.010194294,-0.016162128,-0.026200209,-0.021866341,-0.034301710,-0.021036949,1,3.377169771,1,0,0.000287370,-0.000528402,0.000003296,1
109.526607967,0.000000000,0.019997873,-0.007277703,-0.016670364,0.001092414,-0.000798643,0.901351988,0.060620298,0.961972286,0.950057044,-0.008051821,-0.016804701,0.020016201,0.020070475,0.001363251,0.009527772,-0.006688570,-0.007276929,0.001981051,-0.014735422,0.005350934,-0.017699584,-0.008669621,0.007458493,-0.012039505,0.010422655,1,0.531428298,1,0,-0.000130237,-0.000169877,0.000000759,1
109.626611842,0.000000000,0.024003875,-0.009389220,-0.018302070,0.001090246,0.001307719,0.916992486,0.004382581,0.921375066,0.909459824,-0.009655519,-0.015658172,0.020023294,0.020061201,0.007336798,0.011362890,-0.002318721,-0.004295282,0.001919068,-0.013944611,0.004990099,-0.015775635,-0.004237789,0.009649329,-0.007308819,0.011480354,1,0.389417362,1,0,-0.000144514,-0.000100170,0.000000352,1
109.678611842,-0.048000000,-0.028000000,-0.009963262,-0.017846065,-0.000004359,0.001364828,0.863842666,-0.017111416,0.846731250,0.834816008,-0.008432515,-0.013955178,0.020017769,0.020048628,-0.017784161,-0.004370919,-0.026216675,-0.018326097,0.001999682,-0.014234197,0.002465198,-0.013992069,-0.028216357,-0.004091900,-0.028681873,-0.004334029,1,1.762453718,1,0,0.000057183,-0.000392164,0.000002115,1
109.782607593,-0.044000000,-0.020002124,-0.010300705,-0.019881268,-0.003651780,0.001531356,0.858727098,0.011965751,0.870692849,0.858777606,-0.005789172,-0.015977137,0.020008377,0.020063716,-0.001027008,-0.013506714,-0.006816179,-0.029483851,0.003239498,-0.014615884,-0.001019424,-0.014561212,-0.010055678,-0.014867967,-0.005796755,-0.014922639,1,0.538814968,1,0,0.000192328,-0.000083038,0.000000653,1
109.886602470,-0.040000000,-0.020005123,-0.005446015,-0.023960219,-0.004073761,-0.002307920,0.783836186,0.065542900,0.849379086,0.837463844,-0.001165564,-0.022311608,0.020000340,0.020124067,0.025005636,0.002104739,0.023840072,-0.020206869,0.004996721,-0.014281332,-0.001249535,-0.016600631,0.018843351,-0.005925537,0.025089608,-0.003606239,1,1.353689354,1,0,0.000040694,0.000318931,-0.000001478,1
109.990602470,-0.036000000,-0.012000000,-0.004683958,-0.023045546,-0.001319786,-0.000700895,0.761497855,-0.027526132,0.733971723,0.722056481,-0.002469207,-0.017429216,0.020001524,0.020075801,0.001422203,-0.024829835,-0.001047004,-0.042259051,0.005620545,-0.014048854,0.001658775,-0.016597563,-0.006667549,-0.028210197,-0.002705780,-0.025661488,1,1.401562889,1,0,0.000285810,-0.000039928,0.000000516,1
110.098595227,-0.032000000,-0.008002121,-0.004875778,-0.021424635,0.000275961,-0.001701428,0.668121219,0.004536316,0.672657534,0.660742292,-0.003465356,-0.015555921,0.020003002,0.020060405,-0.011654598,0.012090008,-0.015119954,-0.003465912,0.006861502,-0.012858470,0.003437481,-0.020659106,-0.021981456,0.009392558,-0.018557435,0.017193194,1,1.353082930,1,0,-0.000192794,-0.000214491,0.000000790,1
110.202599108,-0.024000000,0.000003881,-0.003520902,-0.020700776,-0.001089911,0.000056038,0.648915648,-0.039490964,0.609424684,0.597509442,-0.001481506,-0.012581413,0.020000549,0.020039534,-0.026470588,0.007906650,-0.027952093,-0.004674762,0.006734459,-0.011301285,0.001128552,-0.015869551,-0.034686552,0.006626523,-0.029080645,0.011194789,1,2.055480362,1,0,-0.000126791,-0.000347386,0.000001414,1
110.302602989,-0.024000000,-0.003996119,-0.004684606,-0.016361121,0.004950831,-0.000654019,0.619525015,-0.045030845,0.574494170,0.562578928,-0.005535502,-0.009775099,0.020007659,0.020023874,-0.023860554,0.038076987,-0.029396056,0.028301889,0.006646156,-0.009327594,-0.003625815,-0.012427761,-0.036042213,0.037629482,-0.025770241,0.040729649,1,4.930160170,1,0,-0.000498339,-0.000316158,0.000001251,1
110.410602989,-0.016000000,0.000000000,-0.006538076,-0.015883949,0.001399224,0.001669401,0.552491069,-0.042966716,0.509524353,0.497609111,-0.004044248,-0.007242658,0.020004089,0.020013110,0.001641808,0.022858285,-0.002402440,0.015615627,0.006360377,-0.009123327,-0.009093425,-0.004361542,-0.008762817,0.024738954,0.006690985,0.019977169,1,0.939174975,1,0,-0.000250014,0.000083464,-0.000000388,1
110.510600871,-0.016000000,0.004000000,-0.007480047,-0.021977377,-0.000782559,0.003125742,0.523295641,-0.030662396,0.492633245,0.480718002,-0.003299405,-0.009286942,0.020002721,0.020021550,0.012155886,0.013422747,0.008856481,0.004135805,0.006135622,-0.007711689,-0.007705437,-0.000465019,0.002720859,0.011847493,0.016561918,0.004600824,1,0.624653236,1,0,-0.000060344,0.000209915,-0.000000884,1
110.614614637,-0.012000000,0.012009884,-0.003532932,-0.020217307,0.002833200,-0.000114768,0.465003520,0.082994932,0.547998453,0.536083210,-0.003488631,-0.011141946,0.020003042,0.020031012,-0.006811945,0.048338391,-0.010300575,0.037196445,0.007983675,-0.007256330,-0.007508714,0.002504071,-0.018284251,0.044452776,-0.002791861,0.034692375,1,2.567219728,1,0,-0.000434636,-0.000042171,-0.000000134,1
110.722618522,-0.004000000,0.016000000,-0.002778545,-0.026254140,-0.005122925,0.000368321,0.467031032,0.030409426,0.497440458,0.485525216,0.001166189,-0.012876654,0.020000340,0.020041409,0.024223146,-0.010469107,0.025389335,-0.023345760,0.006378887,-0.008560357,-0.007037796,0.011070137,0.019010448,-0.014785404,0.032427131,-0.034415897,1,4.753653759,1,0,0.000363709,0.000347111,-0.000001025,1
