stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
14.700000000,2,0,-0.020459989,0.020528858,0.486507598,0.026370380,-0.019425895,0.637275277,-0.046830369,0.039954753,-0.150767679,0.162850725,0.000000000
14.700000000,2,1,1.969570732,-0.024889440,0.459332215,2.011892282,-0.024749903,0.534885579,-0.042321551,-0.000139536,-0.075553364,0.086599330,0.250000000
14.700000000,2,3,0.009157252,2.002179663,0.433293582,0.033608965,1.991218319,0.548104908,-0.024451713,0.010961343,-0.114811326,0.117896895,0.000000000
14.800000000,2,0,-0.029789765,0.007687336,0.568882936,0.026673361,-0.020150342,0.719240390,-0.056463126,0.027837678,-0.150357454,0.163004248,0.000000000
14.800000000,2,1,1.994842031,-0.032108480,0.500165806,2.012631017,-0.025794719,0.617121617,-0.017788986,-0.006313761,-0.116955811,0.118469293,-0.100000000
14.800000000,2,3,-0.003021736,2.010033983,0.490088708,0.034848074,1.990368626,0.630313964,-0.037869810,0.019665357,-0.140225255,0.146574114,0.000000000
14.900000000,2,0,0.030391480,-0.010806027,0.638485059,0.026660639,-0.020508621,0.769877443,0.003730840,0.009702594,-0.131392384,0.131802952,0.000000000
14.900000000,2,1,1.971929159,0.030362193,0.574628992,2.013027333,-0.026193297,0.668301689,-0.041098175,0.056555490,-0.093672697,0.116885233,-0.100000000
14.900000000,2,3,0.043261476,1.962949124,0.573526745,0.035358802,1.989871364,0.681468459,0.007902673,-0.026922240,-0.107941715,0.111528799,0.000000000
15.000000000,2,0,-0.019487068,0.007190547,0.712878081,0.026360363,-0.020943406,0.850598940,-0.045847431,0.028133953,-0.137720858,0.147853106,0.000000000
15.000000000,2,1,2.017492365,-0.040339936,0.644352829,2.013606244,-0.026462361,0.750497342,0.003886121,-0.013877575,-0.106144513,0.107118377,-0.100000000
15.000000000,2,3,0.131192673,1.927374447,0.640864986,0.035847317,1.989124437,0.763539724,0.095345357,-0.061749990,-0.122674738,0.167191177,0.000000000
15.100000000,2,0,-0.006276549,-0.027092286,0.767421793,0.025801276,-0.021249241,0.928840157,-0.032077826,-0.005843045,-0.161418364,0.164678524,0.000000000
15.100000000,2,1,2.032586579,-0.114015626,0.723008560,2.014151424,-0.026354368,0.830782210,0.018435155,-0.087661258,-0.107773650,0.140141039,-0.100000000
15.100000000,2,3,0.109886477,1.996556831,0.725986562,0.036016351,1.988426203,0.843634014,0.073870126,0.008130628,-0.117647452,0.139153963,0.000000000
15.200000000,2,0,0.034702713,-0.055147453,0.847247187,0.025191298,-0.021434438,0.992910493,0.009511415,-0.033713014,-0.145663307,0.149815998,0.000000000
15.200000000,2,1,2.024629481,-0.102412574,0.791091863,2.014605228,-0.026035233,0.896920086,0.010024253,-0.076377341,-0.105828223,0.130895365,-0.100000000
15.200000000,2,3,0.109639351,1.982620879,0.783170920,0.035984178,1.987836910,0.909484106,0.073655173,-0.005216031,-0.126313186,0.146312379,0.000000000
15.300000000,2,0,0.027760953,-0.024447347,0.929681360,0.024377217,-0.021580652,1.063961315,0.003383737,-0.002866694,-0.134279955,0.134353169,0.000000000
15.300000000,2,1,2.036026581,-0.082452528,0.861039482,2.015111031,-0.025435610,0.970720060,0.020915549,-0.057016919,-0.109680578,0.125372319,-0.100000000
15.300000000,2,3,0.082063294,1.951037421,0.864901799,0.035826959,1.987120269,0.982770742,0.046236335,-0.036082848,-0.117868943,0.131654314,0.000000000
15.400000000,2,0,0.019197514,-0.031300815,1.008079541,0.023296092,-0.021669379,1.143171777,-0.004098578,-0.009631436,-0.135092236,0.135497141,0.000000000
15.400000000,2,1,2.038675945,-0.088790999,0.936991567,2.015687131,-0.024436028,1.053519522,0.022988814,-0.064354971,-0.116527955,0.135088164,-0.100000000
15.400000000,2,3,-0.000119849,1.916392559,0.941132957,0.035552761,1.986231539,1.064732005,-0.035672611,-0.069838979,-0.123599048,0.146378765,0.000000000
