seq,timestamp,self_id,target_id,filtered_distance,gt_distance
0,11.950000,1,0,2.053747,2.000000
0,11.950000,1,2,1.953563,2.000000
0,11.950000,1,3,2.778449,2.828427
1,11.950000,1,0,2.033164,2.000000
1,11.950000,1,2,1.916826,2.000000
1,11.950000,1,3,2.745818,2.828427
2,11.990000,1,0,2.013099,2.000000
2,11.990000,1,2,1.951365,2.000000
2,11.990000,1,3,2.758271,2.828427
3,12.030000,1,0,2.030925,2.000000
3,12.030000,1,2,1.989835,2.000000
3,12.030000,1,3,2.785761,2.828427
4,12.070000,1,0,2.004987,2.000000
4,12.070000,1,2,1.990124,2.000000
4,12.070000,1,3,2.805732,2.828427
5,12.112000,1,0,1.987005,2.000000
5,12.112000,1,2,1.985986,2.000000
5,12.112000,1,3,2.809742,2.828427
6,12.150000,1,0,1.990584,2.000000
6,12.150000,1,2,2.010139,2.000000
6,12.150000,1,3,2.822365,2.828427
7,12.190000,1,0,1.989240,2.000000
7,12.190000,1,2,1.971077,2.000000
7,12.190000,1,3,2.853662,2.828427
8,12.230000,1,0,1.983874,2.000000
8,12.230000,1,2,1.963285,2.000000
8,12.230000,1,3,2.830818,2.828427
9,12.272000,1,0,1.999424,2.000000
9,12.272000,1,2,1.989144,2.000000
9,12.272000,1,3,2.805905,2.828427
10,12.310000,1,0,1.989027,2.000000
10,12.310000,1,2,2.035727,2.000000
10,12.310000,1,3,2.819675,2.828427
11,12.350000,1,0,1.997751,2.000000
11,12.350000,1,2,2.046974,2.000000
11,12.350000,1,3,2.845712,2.828427
12,12.390000,1,0,2.011790,2.000000
12,12.390000,1,2,2.075468,2.000000
12,12.390000,1,3,2.817327,2.828427
13,12.430000,1,0,2.014618,2.000000
13,12.430000,1,2,2.049695,2.000000
13,12.430000,1,3,2.806732,2.828427
14,12.470000,1,0,1.990171,2.000000
14,12.470000,1,2,2.018239,2.000000
14,12.470000,1,3,2.797777,2.828427
15,12.510000,1,0,1.976819,2.000000
15,12.510000,1,2,2.011489,2.000000
15,12.510000,1,3,2.775814,2.828427
16,12.550000,1,0,1.959789,2.000000
16,12.550000,1,2,2.009805,2.000000
16,12.550000,1,3,2.746798,2.828427
17,12.590000,1,0,1.939333,2.000000
17,12.590000,1,2,2.047242,2.000000
17,12.590000,1,3,2.746555,2.828427
18,12.630000,1,0,1.931916,2.000000
18,12.630000,1,2,2.034925,2.000000
18,12.630000,1,3,2.779250,2.828427
19,12.670000,1,0,1.958286,2.000000
19,12.670000,1,2,2.055945,2.000000
