seq,raw_timestamp,effective_timestamp,stamp_shift,self_id,target_id,filtered_distance,latest_raw_distance,gt_distance_latest,window_size,window_span,window_lag,reject_count
0,52.986000,52.986000,0.000000,0,1,1.867146,1.867146,2.000000,1,0.000000,0.000000,0
0,52.986000,52.986000,0.000000,0,2,2.791731,2.791731,2.828427,1,0.000000,0.000000,0
0,52.986000,52.986000,0.000000,0,3,2.019599,2.019599,2.000000,1,0.000000,0.000000,0
1,52.986000,52.986000,0.000000,0,1,1.893023,1.918899,2.000000,2,0.000000,0.000000,0
1,52.986000,52.986000,0.000000,0,2,2.814670,2.837608,2.828427,2,0.000000,0.000000,0
1,52.986000,52.986000,0.000000,0,3,1.954524,1.889448,2.000000,2,0.000000,0.000000,0
2,53.026000,52.999333,-0.026667,0,1,1.932491,2.011428,2.000000,3,0.040000,0.026667,0
2,53.026000,52.999333,-0.026667,0,2,2.815299,2.816557,2.828427,3,0.040000,0.026667,0
2,53.026000,52.999333,-0.026667,0,3,1.941762,1.916239,2.000000,3,0.040000,0.026667,0
3,53.066000,53.016000,-0.050000,0,1,1.947707,1.993355,2.000000,4,0.080000,0.050000,0
3,53.066000,53.016000,-0.050000,0,2,2.833736,2.889049,2.828427,4,0.080000,0.050000,0
3,53.066000,53.016000,-0.050000,0,3,1.955731,1.997638,2.000000,4,0.080000,0.050000,0
4,53.106000,53.034000,-0.072000,0,1,1.957768,1.998011,2.000000,5,0.120000,0.072000,0
4,53.106000,53.034000,-0.072000,0,2,2.837702,2.853566,2.828427,5,0.120000,0.072000,0
4,53.106000,53.034000,-0.072000,0,3,1.946760,1.910878,2.000000,5,0.120000,0.072000,0
5,53.146000,53.066000,-0.080000,0,1,1.979384,1.975227,2.000000,5,0.160000,0.080000,0
5,53.146000,53.066000,-0.080000,0,2,2.844544,2.825939,2.828427,5,0.160000,0.080000,0
5,53.146000,53.066000,-0.080000,0,3,1.932076,1.946178,2.000000,5,0.160000,0.080000,0
6,53.186000,53.106000,-0.080000,0,1,2.014073,2.092343,2.000000,5,0.160000,0.080000,0
6,53.186000,53.106000,-0.080000,0,2,2.846461,2.847193,2.828427,5,0.160000,0.080000,0
6,53.186000,53.106000,-0.080000,0,3,1.926333,1.860731,2.000000,5,0.160000,0.080000,0
7,53.226000,53.146000,-0.080000,0,1,2.034083,2.111478,2.000000,5,0.160000,0.080000,0
7,53.226000,53.146000,-0.080000,0,2,2.848975,2.829130,2.828427,5,0.160000,0.080000,0
7,53.226000,53.146000,-0.080000,0,3,1.936459,1.966872,2.000000,5,0.160000,0.080000,0
8,53.266000,53.186000,-0.080000,0,1,2.033414,1.990011,2.000000,5,0.160000,0.080000,0
8,53.266000,53.186000,-0.080000,0,2,2.830097,2.794657,2.828427,5,0.160000,0.080000,0
8,53.266000,53.186000,-0.080000,0,3,1.951336,2.072021,2.000000,5,0.160000,0.080000,0
9,53.306000,53.226000,-0.080000,0,1,2.034951,2.005695,2.000000,5,0.160000,0.080000,0
9,53.306000,53.226000,-0.080000,0,2,2.809559,2.750877,2.828427,5,0.160000,0.080000,0
9,53.306000,53.226000,-0.080000,0,3,1.983749,2.072944,2.000000,5,0.160000,0.080000,0
10,53.346000,53.266000,-0.080000,0,1,2.033674,1.968843,2.000000,5,0.160000,0.080000,0
10,53.346000,53.266000,-0.080000,0,2,2.830321,2.929745,2.828427,5,0.160000,0.080000,0
10,53.346000,53.266000,-0.080000,0,3,2.020764,2.131252,2.000000,5,0.160000,0.080000,0
11,53.386000,53.306000,-0.080000,0,1,1.985787,1.852906,2.000000,5,0.160000,0.080000,0
11,53.386000,53.306000,-0.080000,0,2,2.826512,2.828150,2.828427,5,0.160000,0.080000,0
11,53.386000,53.306000,-0.080000,0,3,2.073785,2.125838,2.000000,5,0.160000,0.080000,0
12,53.426000,53.346000,-0.080000,0,1,1.958365,1.974368,2.000000,5,0.160000,0.080000,0
12,53.426000,53.346000,-0.080000,0,2,2.836845,2.880794,2.828427,5,0.160000,0.080000,0
12,53.426000,53.346000,-0.080000,0,3,2.077421,1.985054,2.000000,5,0.160000,0.080000,0
13,53.466000,53.386000,-0.080000,0,1,1.985880,2.127587,2.000000,5,0.160000,0.080000,0
13,53.466000,53.386000,-0.080000,0,2,2.854175,2.881307,2.828427,5,0.160000,0.080000,0
13,53.466000,53.386000,-0.080000,0,3,2.093737,2.153597,2.000000,5,0.160000,0.080000,0
14,53.506000,53.426000,-0.080000,0,1,1.956980,1.861195,2.000000,5,0.160000,0.080000,0
14,53.506000,53.426000,-0.080000,0,2,2.856472,2.762367,2.828427,5,0.160000,0.080000,0
