seq,timestamp,self_id,target_id,distance,gt_distance
0,4.864000,2,0,0.000000,0.000000
0,4.864000,2,1,0.046453,0.000000
0,4.864000,2,3,0.131237,0.000000
1,4.864000,2,0,0.050986,0.000000
1,4.864000,2,1,0.064212,0.000000
1,4.864000,2,3,0.000000,0.000000
2,4.904000,2,0,0.147044,0.000000
2,4.904000,2,1,0.104891,0.000000
2,4.904000,2,3,0.000000,0.000000
3,4.944000,2,0,0.105325,0.000000
3,4.944000,2,1,0.000000,0.000000
3,4.944000,2,3,0.000000,0.000000
4,4.984000,2,0,0.000000,0.000000
4,4.984000,2,1,0.000000,0.000000
4,4.984000,2,3,0.000000,0.000000
5,5.024000,2,0,0.000000,0.000000
5,5.024000,2,1,0.162801,0.000000
5,5.024000,2,3,0.001478,0.000000
6,5.064000,2,0,0.000000,0.000000
6,5.064000,2,1,0.133012,0.000000
6,5.064000,2,3,0.067793,0.000000
7,5.106000,2,0,0.064146,0.000000
7,5.106000,2,1,0.015828,0.000000
7,5.106000,2,3,0.020025,0.000000
8,5.144000,2,0,0.000000,0.000000
8,5.144000,2,1,0.000000,0.000000
8,5.144000,2,3,0.000000,0.000000
9,5.184000,2,0,0.000000,0.000000
9,5.184000,2,1,0.000000,0.000000
9,5.184000,2,3,0.047276,0.000000
10,5.224000,2,0,0.135663,0.000000
10,5.224000,2,1,0.121494,0.000000
10,5.224000,2,3,0.000000,0.000000
11,5.264000,2,0,0.000000,0.000000
11,5.264000,2,1,0.184456,0.000000
11,5.264000,2,3,0.000000,0.000000
12,5.304000,2,0,0.000000,0.000000
12,5.304000,2,1,0.061007,0.000000
12,5.304000,2,3,0.000000,0.000000
13,5.344000,2,0,0.000000,0.000000
13,5.344000,2,1,0.025097,0.000000
13,5.344000,2,3,0.099972,0.000000
14,5.384000,2,0,0.179172,0.000000
14,5.384000,2,1,0.068878,0.000000
14,5.384000,2,3,0.037436,0.000000
15,5.424000,2,0,0.000000,0.000000
15,5.424000,2,1,0.121699,0.000000
15,5.424000,2,3,0.108496,0.000000
16,5.464000,2,0,0.003830,0.000000
16,5.464000,2,1,0.000000,0.000000
16,5.464000,2,3,0.001652,0.000000
17,5.504000,2,0,0.000000,0.000000
17,5.504000,2,1,0.000000,0.000000
17,5.504000,2,3,0.000000,0.000000
18,5.544000,2,0,0.000000,0.000000
18,5.544000,2,1,0.125994,0.000000
18,5.544000,2,3,0.000000,0.000000
19,5.584000,2,0,2.931567,2.828427
19,5.584000,2,1,2.048308,2.000000
19,5.584000,2,3,2.192606,2.000000
20,5.624000,2,0,2.945667,2.828427
20,5.624000,2,1,2.083773,2.000000
20,5.624000,2,3,2.149590,2.000000
21,5.664000,2,0,2.774331,2.828427
21,5.664000,2,1,2.016689,2.000000
21,5.664000,2,3,2.096073,2.000000
22,5.704000,2,0,2.743009,2.828427
22,5.704000,2,1,2.148051,2.000000
22,5.704000,2,3,1.967302,2.000000
23,5.744000,2,0,2.898873,2.828427
23,5.744000,2,1,2.064024,2.000000
23,5.744000,2,3,1.990212,2.000000
24,5.786000,2,0,2.857572,2.828427
24,5.786000,2,1,2.047742,2.000000
24,5.786000,2,3,1.902456,2.000000
25,5.824000,2,0,2.878706,2.828427
25,5.824000,2,1,1.868371,2.000000
25,5.824000,2,3,1.930341,2.000000
26,5.864000,2,0,2.796472,2.828427
26,5.864000,2,1,1.901871,2.000000
26,5.864000,2,3,2.095760,2.000000
27,5.904000,2,0,2.917023,2.828427
