stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
23.152000,3,0,1,2.026858,-0.011082,2.990200,0.123246,-0.121325,0.000000,0.172943,0.510000,1.973208,0,2.025181,3.414220,-1.414214,3.000000
23.152000,3,0,2,2.025327,2.014099,2.978626,0.122676,0.117570,0.000000,0.169918,0.510000,1.972142,0,2.025181,3.414220,3.414213,3.000000
23.152000,3,0,3,-0.031510,2.043491,3.025868,-0.118873,0.114731,0.000000,0.165209,0.510000,1.946980,0,2.025181,-1.414208,3.414214,3.000000
23.252000,3,0,0,-0.036131,-0.040448,2.998738,-0.145117,-0.155858,0.000000,0.212957,0.569999,1.945849,0,2.055884,-1.414208,-1.414213,3.000000
23.252000,3,0,1,2.042644,-0.026545,2.991453,0.157855,-0.154639,0.000000,0.220978,0.570000,1.951114,0,2.055884,3.414220,-1.414214,3.000000
23.252000,3,0,2,2.040918,2.029338,2.980787,0.155914,0.152386,0.000000,0.218015,0.570000,1.950343,0,2.055884,3.414220,3.414213,3.000000
23.252000,3,0,3,-0.046900,2.058490,3.024064,-0.153904,0.149986,0.000000,0.214900,0.570000,1.925491,0,2.055884,-1.414208,3.414214,3.000000
23.352000,3,0,0,-0.048807,-0.053853,2.998971,-0.126759,-0.134054,0.000000,0.184494,0.629999,1.927407,0,2.082290,-1.414208,-1.414213,3.000000
23.352000,3,0,1,2.056174,-0.039779,2.992379,0.135300,-0.132334,0.000000,0.189257,0.630000,1.932191,0,2.082290,3.414220,-1.414214,3.000000
23.352000,3,0,2,2.054224,2.042510,2.982243,0.133059,0.131725,0.000000,0.187233,0.630000,1.931621,0,2.082290,3.414220,3.414213,3.000000
23.352000,3,0,3,-0.060191,2.071506,3.022966,-0.132909,0.130161,0.000000,0.186029,0.630000,1.906889,0,2.082290,-1.414208,3.414214,3.000000
23.452000,3,0,0,-0.071512,-0.077602,2.999566,-0.227055,-0.237482,0.000000,0.328560,0.689998,1.894561,0,2.129049,-1.414208,-1.414213,3.000000
23.452000,3,0,1,2.080058,-0.063117,2.993725,0.238849,-0.233386,0.000000,0.333943,0.690000,1.898801,0,2.129049,3.414220,-1.414214,3.000000
23.452000,3,0,2,2.077643,2.065930,2.984243,0.234193,0.234201,0.000000,0.331205,0.689999,1.898501,0,2.129049,3.414220,3.414213,3.000000
23.452000,3,0,3,-0.083768,2.094655,3.021427,-0.235772,0.231492,0.000000,0.330419,0.690000,1.873847,0,2.129049,-1.414208,3.414214,3.000000
23.552000,3,0,0,-0.088972,-0.095731,3.000067,-0.174595,-0.181290,0.000000,0.251693,0.749997,1.869398,0,2.164714,-1.414208,-1.414213,3.000000
23.552000,3,0,1,2.098249,-0.080868,2.994570,0.181908,-0.177502,0.000000,0.254160,0.750000,1.873390,0,2.164714,3.414220,-1.414214,3.000000
23.552000,3,0,2,2.095448,2.083845,2.985475,0.178049,0.179145,0.000000,0.252575,0.749999,1.873243,0,2.164714,3.414220,3.414213,3.000000
23.552000,3,0,3,-0.101765,2.112342,3.020412,-0.179964,0.176870,0.000000,0.252329,0.750000,1.848614,0,2.164714,-1.414208,3.414214,3.000000
23.652000,3,0,0,-0.119656,-0.127460,3.000908,-0.306839,-0.317297,0.000000,0.441392,0.809996,1.825267,0,2.227089,-1.414208,-1.414213,3.000000
23.652000,3,0,1,2.130033,-0.111850,2.995770,0.317841,-0.309822,0.000000,0.443861,0.809999,1.829012,0,2.227089,3.414220,-1.414214,3.000000
23.652000,3,0,2,2.126546,2.115236,2.987194,0.310977,0.313915,0.000000,0.441870,0.809999,1.829056,0,2.227089,3.414220,3.414213,3.000000
23.652000,3,0,3,-0.133286,2.143316,3.018820,-0.315212,0.309735,0.000000,0.441921,0.810000,1.804423,0,2.227089,-1.414208,3.414214,3.000000
23.752000,3,0,0,-0.144974,-0.153566,3.001527,-0.246853,-0.254537,0.000000,0.354578,0.869994,1.789815,0,2.277143,-1.414208,-1.414213,3.000000
23.752000,3,0,1,2.156161,-0.137310,2.996579,0.261274,-0.254604,0.000000,0.364811,0.869999,1.792539,0,2.277143,3.414220,-1.414214,3.000000
23.752000,3,0,2,2.152765,2.141762,2.988287,0.255779,0.258771,0.000000,0.363848,0.869999,1.792671,0,2.277143,3.414220,3.414213,3.000000
23.752000,3,0,3,-0.159922,2.169478,3.017653,-0.266363,0.261624,0.000000,0.373359,0.870000,1.767087,0,2.277143,-1.414208,3.414214,3.000000
23.852000,3,0,0,-0.180738,-0.190339,3.002258,-0.338540,-0.348055,0.000000,0.485543,0.929991,1.737618,0,2.350849,-1.414208,-1.414213,3.000000
23.852000,3,0,1,2.192940,-0.173199,2.997507,0.348116,-0.339708,0.000000,0.486401,0.929996,1.741161,0,2.350849,3.414220,-1.414214,3.000000
23.852000,3,0,2,2.188161,2.177645,2.989395,0.341101,0.345797,0.000000,0.485721,0.929999,1.741357,0,2.350849,3.414220,3.414213,3.000000
23.852000,3,0,3,-0.195962,2.204872,3.016349,-0.347317,0.341097,0.000000,0.486802,0.929999,1.716574,0,2.350849,-1.414208,3.414214,3.000000
23.952000,3,0,0,-0.224883,-0.235564,3.002925,-0.441450,-0.452254,0.000000,0.631990,0.989979,1.674428,0,2.440098,-1.414208,-1.414213,3.000000
23.952000,3,0,1,2.238146,-0.217429,2.998381,0.452063,-0.442293,0.000000,0.632443,0.989984,1.677928,0,2.440098,3.414220,-1.414214,3.000000
23.952000,3,0,2,2.232457,2.222663,2.990400,0.442959,0.450184,0.000000,0.631568,0.989999,1.678200,0,2.440098,3.414220,3.414213,3.000000
23.952000,3,0,3,-0.241176,2.249287,3.015011,-0.452144,0.444148,0.000000,0.633799,0.989998,1.653195,0,2.440098,-1.414208,3.414214,3.000000
24.052000,3,0,0,-0.256699,-0.268059,3.003303,-0.318162,-0.324951,0.000000,0.454775,1.000000,1.628955,0,2.504339,-1.414208,-1.414213,3.000000
24.052000,3,0,1,2.270606,-0.249270,2.998921,0.324595,-0.318416,0.000000,0.454698,1.000000,1.632466,0,2.504339,3.414220,-1.414214,3.000000
24.052000,3,0,2,2.264266,2.255060,2.991009,0.318092,0.323973,0.000000,0.454028,1.000000,1.632798,0,2.504339,3.414220,3.414213,3.000000
24.052000,3,0,3,-0.273690,2.281225,3.014139,-0.325140,0.319382,0.000000,0.455764,1.000000,1.607620,0,2.504339,-1.414208,3.414214,3.000000
24.152000,3,0,0,-0.313563,-0.325999,3.003754,-0.568638,-0.579400,0.000000,0.811821,1.000000,1.547782,0,2.619057,-1.414208,-1.414213,3.000000
24.152000,3,0,1,2.328394,-0.306147,2.999748,0.577878,-0.568771,0.000000,0.810829,1.000000,1.551396,0,2.619057,3.414220,-1.414214,3.000000
24.152000,3,0,2,2.320952,2.312899,2.991956,0.566858,0.578390,0.000000,0.809854,1.000000,1.551814,0,2.619057,3.414220,3.414213,3.000000
24.152000,3,0,3,-0.331660,2.338165,3.012565,-0.579699,0.569393,0.000000,0.812563,1.000000,1.526365,0,2.619057,-1.414208,3.414214,3.000000
24.252000,3,0,0,-0.351363,-0.364444,3.003858,-0.378002,-0.384447,0.000000,0.539152,1.000000,1.493872,0,2.695258,-1.414208,-1.414213,3.000000
24.252000,3,0,1,2.366665,-0.343933,3.000213,0.382709,-0.377856,0.000000,0.537812,1.000000,1.497622,0,2.695258,3.414220,-1.414214,3.000000
24.252000,3,0,2,2.358555,2.351313,2.992475,0.376028,0.384137,0.000000,0.537548,1.000000,1.498061,0,2.695258,3.414220,3.414213,3.000000
