stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
14.500000000,3,0,0.005075088,0.035046787,0.318418188,0.024595084,-0.042435954,0.455152705,-0.019519996,0.077482741,-0.136734517,0.158369611,0.118000000
14.500000000,3,1,1.970479862,-0.026837117,0.334571255,2.032054203,-0.028433373,0.446740181,-0.061574341,0.001596256,-0.112168926,0.127968025,0.112000000
14.500000000,3,2,2.056365499,1.969809456,0.480259922,2.061142125,1.966957954,0.582617849,-0.004776626,0.002851502,-0.102357926,0.102508986,0.170000000
14.600000000,3,0,0.005095261,0.030825302,0.398239706,0.026218508,-0.044631486,0.507358959,-0.021123247,0.075456787,-0.109119253,0.134338861,0.118000000
14.600000000,3,1,1.974374616,-0.030574104,0.408376094,2.034115633,-0.030054779,0.498875932,-0.059741017,-0.000519324,-0.090499838,0.108441134,0.112000000
14.600000000,3,2,2.142528331,1.950410668,0.521717739,2.062962897,1.965696961,0.636503671,0.079565434,-0.015286294,-0.114785931,0.140499605,-0.100000000
14.700000000,3,0,0.005924984,0.028743730,0.464696608,0.028200946,-0.047053902,0.584768399,-0.022275962,0.075797632,-0.120071790,0.143731466,0.116000000
14.700000000,3,1,1.977477836,-0.032894949,0.487325016,2.036586808,-0.032052565,0.576396309,-0.059108972,-0.000842384,-0.089071293,0.106903112,0.108000000
14.700000000,3,2,2.077347311,1.952505233,0.595369747,2.064879139,1.964231105,0.715191012,0.012468172,-0.011725872,-0.119821264,0.121037543,-0.100000000
14.800000000,3,0,0.006327592,0.027546827,0.533526701,0.029793755,-0.048664169,0.662850973,-0.023466163,0.076210995,-0.129324272,0.151932696,0.116000000
14.800000000,3,1,1.978818119,-0.035652146,0.556044158,2.038350847,-0.033757919,0.654899218,-0.059532728,-0.001894227,-0.098855060,0.115412551,0.112000000
14.800000000,3,2,2.123280335,1.938542224,0.664876549,2.065971405,1.963178011,0.793523521,0.057308930,-0.024635786,-0.128646973,0.142973001,-0.100000000
14.900000000,3,0,0.005732646,0.022897027,0.604409072,0.031042750,-0.049580817,0.740857265,-0.025310104,0.072477844,-0.136448193,0.156562284,0.118000000
14.900000000,3,1,1.982245074,-0.038192744,0.620975761,2.039405472,-0.035287906,0.733614325,-0.057160398,-0.002904838,-0.112638564,0.126345539,0.112000000
14.900000000,3,2,2.051231545,2.005219418,0.737657509,2.066344944,1.962461093,0.871154500,-0.015113399,0.042758325,-0.133496991,0.140989843,-0.100000000
15.000000000,3,0,0.005868600,0.020640607,0.695360596,0.031938283,-0.049908168,0.816791862,-0.026069683,0.070548775,-0.121431266,0.142836656,0.118000000
15.000000000,3,1,1.982888312,-0.039348951,0.691987418,2.039803388,-0.036645183,0.810440806,-0.056915076,-0.002703768,-0.118453388,0.131445203,0.112000000
15.000000000,3,2,2.076852877,2.010763197,0.815797331,2.066134050,1.962006159,0.946211860,0.010718827,0.048757039,-0.130414529,0.139642728,-0.100000000
15.100000000,3,0,0.004725888,0.020358402,0.759800044,0.032423564,-0.049836525,0.875521310,-0.027697676,0.070194927,-0.115721265,0.138151729,0.118000000
15.100000000,3,1,1.982315814,-0.041834915,0.764662345,2.039714722,-0.037582101,0.869907506,-0.057398909,-0.004252814,-0.105245160,0.119955262,0.112000000
15.100000000,3,2,1.992559524,1.988199487,0.892104590,2.065642617,1.961794684,1.003981170,-0.073083092,0.026404803,-0.111876579,0.136215715,-0.100000000
15.200000000,3,0,0.006279931,0.023834922,0.840657996,0.032832778,-0.049300600,0.960989174,-0.026552847,0.073135522,-0.120331178,0.143294978,0.118000000
15.200000000,3,1,1.982348951,-0.040291236,0.841565700,2.039048045,-0.038720785,0.956408708,-0.056699094,-0.001570451,-0.114843008,0.128086573,0.112000000
15.200000000,3,2,2.037058702,1.961174305,0.946765427,2.064490484,1.961706877,1.087675304,-0.027431783,-0.000532571,-0.140909877,0.143556190,-0.100000000
15.300000000,3,0,0.005771216,0.024761931,0.909297534,0.032950140,-0.048495023,1.036318238,-0.027178923,0.073256954,-0.127020704,0.149129254,0.118000000
