stamp,phase,self_id,target_id,uwb_dt,camera_dt,com_dt,rel_gt_x,rel_gt_y,rel_gt_z,rel_pred_x,rel_pred_y,rel_pred_z,uwb_meas,uwb_pred,uwb_residual,alpha_meas,alpha_pred,alpha_residual,theta_meas,theta_pred,theta_residual,xy_residual_x,xy_residual_y,cost_uwb,cost_angle,cost_xy,cost_ins,cam_target_valid,angle_constraint_valid,xy_constraint_valid
14.900000000,pre,3,0,0.016000000,-0.072000000,0.000000000,-0.006747141,-2.029886031,0.062901456,-0.040362435,-2.045978690,0.023852033,2.082295895,2.046515782,0.035780113,nan,nan,nan,nan,nan,nan,nan,nan,0.512086590,nan,nan,0.000000000,0,0,0
14.900000000,pre,3,1,0.016000000,-0.072000000,0.000000000,2.018985825,-2.010747566,-0.007651265,1.952813829,-2.098386055,-0.021940844,2.860665083,2.866563672,-0.005898589,nan,nan,nan,nan,nan,nan,nan,nan,0.013917343,nan,nan,0.000000000,0,0,0
14.900000000,pre,3,2,0.016000000,-0.072000000,0.000000000,2.010189387,-0.000991226,-0.028408997,1.989414308,-0.016768912,-0.023482153,2.003546476,1.989623557,0.013922920,-0.020268736,-0.008428870,-0.011839866,-0.021743005,-0.011802583,-0.009940422,0.013247152,-0.023828065,0.077539078,0.257572933,0.260726999,0.000000000,1,1,1
14.900000000,post,3,0,0.016000000,-0.072000000,0.000000000,-0.006747141,-2.029886031,0.062901456,-0.035575378,-2.067481446,0.023852033,2.082295895,2.067925061,0.014370834,nan,nan,nan,nan,nan,nan,nan,nan,0.082608343,nan,nan,0.000000000,0,0,0
14.900000000,post,3,1,0.016000000,-0.072000000,0.000000000,2.018985825,-2.010747566,-0.007651265,1.957600886,-2.119888811,-0.021940844,2.860665083,2.885586804,-0.024921721,nan,nan,nan,nan,nan,nan,nan,nan,0.248436867,nan,nan,0.000000000,0,0,0
14.900000000,post,3,2,0.016000000,-0.072000000,0.000000000,2.010189387,-0.000991226,-0.028408997,1.994201365,-0.038271669,-0.023482153,2.003546476,1.994706799,0.008839677,-0.020268736,-0.019189121,-0.001079616,-0.021743005,-0.011772505,-0.009970501,0.008460095,-0.002325308,0.031255956,0.070777532,0.030424312,0.000000000,1,1,1
15.000000000,pre,3,0,-0.004000000,-0.172000000,0.000000000,-0.007254712,-2.029309011,0.062168892,-0.069041869,-2.076907523,0.021552358,2.050566912,2.078166534,-0.027599623,nan,nan,nan,nan,nan,nan,nan,nan,0.304695667,nan,nan,0.000000000,0,0,0
15.000000000,pre,3,1,-0.004000000,-0.172000000,0.000000000,2.019975229,-2.011272698,-0.008577672,1.999544919,-2.059006185,-0.021457473,2.865458250,2.870217200,-0.004758950,nan,nan,nan,nan,nan,nan,nan,nan,0.009059042,nan,nan,0.000000000,0,0,0
15.000000000,pre,3,2,-0.004000000,-0.172000000,0.000000000,2.010567797,-0.001065293,-0.029332407,2.020704115,-0.103818258,-0.043140577,2.021015644,2.023829158,-0.002813514,-0.020268736,-0.051332134,0.031063398,-0.021743005,-0.021317928,-0.000425077,-0.000581204,0.062867311,0.003166345,1.299591754,1.303943876,0.000000000,1,1,1
15.000000000,post,3,0,-0.004000000,-0.172000000,0.000000000,-0.007254712,-2.029309011,0.062168892,-0.062455978,-2.033795332,0.021552358,2.050566912,2.034868228,0.015698684,nan,nan,nan,nan,nan,nan,nan,nan,0.098579470,nan,nan,0.030432560,0,0,0
15.000000000,post,3,1,-0.004000000,-0.172000000,0.000000000,2.019975229,-2.011272698,-0.008577672,2.006130810,-2.015893993,-0.021457473,2.865458250,2.844090336,0.021367914,nan,nan,nan,nan,nan,nan,nan,nan,0.182635094,nan,nan,0.030432560,0,0,0
15.000000000,post,3,2,-0.004000000,-0.172000000,0.000000000,2.010567797,-0.001065293,-0.029332407,2.027290006,-0.060706066,-0.043140577,2.021015644,2.028657464,-0.007641819,-0.020268736,-0.029935496,0.009666759,-0.021743005,-0.021267183,-0.000475822,-0.007167095,0.019755119,0.023358962,0.126000546,0.149274998,0.030432560,1,1,1
15.100000000,pre,3,0,0.016000000,-0.072000000,0.000000000,-0.007733737,-2.027932468,0.060308748,-0.030595820,-2.027293036,0.016142053,2.067752361,2.027588154,0.040164207,nan,nan,nan,nan,nan,nan,nan,nan,0.645265412,nan,nan,0.000000000,0,0,0
15.100000000,pre,3,1,0.016000000,-0.072000000,0.000000000,2.021055198,-2.011742670,-0.010120773,2.001952792,-2.051993378,-0.031931452,2.879700899,2.866969031,0.012731869,nan,nan,nan,nan,nan,nan,nan,nan,0.064840190,nan,nan,0.000000000,0,0,0
15.100000000,pre,3,2,0.016000000,-0.072000000,0.000000000,2.010870525,-0.001076138,-0.030429423,1.991343728,-0.050134023,-0.047826149,2.053688049,1.992548771,0.061139278,-0.008153327,-0.025170659,0.017017333,-0.023107065,-0.024004804,0.000897739,0.061727833,0.033394289,1.495204544,0.390547927,1.879218283,0.000000000,1,1,1
15.100000000,post,3,0,0.016000000,-0.072000000,0.000000000,-0.007733737,-2.027932468,0.060308748,0.023790168,-2.017370981,0.016142053,2.067752361,2.017575825,0.050176536,nan,nan,nan,nan,nan,nan,nan,nan,1.007073901,nan,nan,0.048900528,0,0,0
15.100000000,post,3,1,0.016000000,-0.072000000,0.000000000,2.021055198,-2.011742670,-0.010120773,2.056338781,-2.042071323,-0.031931452,2.879700899,2.898207047,-0.018506148,nan,nan,nan,nan,nan,nan,nan,nan,0.136991003,nan,nan,0.048900528,0,0,0
15.100000000,post,3,2,0.016000000,-0.072000000,0.000000000,2.010870525,-0.001076138,-0.030429423,2.045729717,-0.040211968,-0.047826149,2.053688049,2.046683761,0.007004288,-0.008153327,-0.019654009,0.011500682,-0.023107065,-0.023369757,0.000262692,0.007341845,0.023472233,0.019624021,0.178168653,0.197557270,0.048900528,1,1,1
15.200000000,pre,3,0,-0.004000000,-0.172000000,0.000000000,-0.007858033,-2.026623880,0.058574714,-0.030593418,-2.051096078,0.014826091,2.070817471,2.051377803,0.019439667,nan,nan,nan,nan,nan,nan,nan,nan,0.151160268,nan,nan,0.000000000,0,0,0
15.200000000,pre,3,1,-0.004000000,-0.172000000,0.000000000,2.021611283,-2.011805015,-0.011282818,2.022073066,-2.058168566,-0.058741023,2.888867617,2.885877309,0.002990308,nan,nan,nan,nan,nan,nan,nan,nan,0.003576777,nan,nan,0.000000000,0,0,0
15.200000000,pre,3,2,-0.004000000,-0.172000000,0.000000000,2.010984994,-0.000977836,-0.031061098,1.971739448,-0.017953441,-0.061876611,2.050941229,1.972791802,0.078149427,-0.008153327,-0.009105130,0.000951804,-0.023107065,-0.031370143,0.008263078,0.078586117,0.001236096,2.442933177,0.048754107,2.468892890,0.000000000,1,1,1
15.200000000,post,3,0,-0.004000000,-0.172000000,0.000000000,-0.007858033,-2.026623880,0.058574714,0.032856615,-2.047303875,0.014826091,2.070817471,2.047621188,0.023196283,nan,nan,nan,nan,nan,nan,nan,nan,0.215227017,nan,nan,0.064644601,0,0,0
15.200000000,post,3,1,-0.004000000,-0.172000000,0.000000000,2.021611283,-2.011805015,-0.011282818,2.085523100,-2.054376364,-0.058741023,2.888867617,2.928023113,-0.039155497,nan,nan,nan,nan,nan,nan,nan,nan,0.613261167,nan,nan,0.064644601,0,0,0
15.200000000,post,3,2,-0.004000000,-0.172000000,0.000000000,2.010984994,-0.000977836,-0.031061098,2.035189482,-0.014161238,-0.061876611,2.050941229,2.036179138,0.014762091,-0.008153327,-0.006958079,-0.001195248,-0.023107065,-0.030393268,0.007286203,0.015136084,-0.002556107,0.087167727,0.038883235,0.093662580,0.064644601,1,1,1
15.300000000,pre,3,0,0.016000000,-0.072000000,0.000000000,-0.007715851,-2.024397776,0.055765580,-0.004230969,-2.045389395,-0.005694321,2.019315720,2.045401698,-0.026085978,nan,nan,nan,nan,nan,nan,nan,nan,0.272191305,nan,nan,0.000000000,0,0,0
15.300000000,pre,3,1,0.016000000,-0.072000000,0.000000000,2.022165470,-2.011445397,-0.012891757,2.029174390,-2.058414673,-0.059035293,2.840336800,2.891038712,-0.050701913,nan,nan,nan,nan,nan,nan,nan,nan,1.028273578,nan,nan,0.000000000,0,0,0
15.300000000,pre,3,2,0.016000000,-0.072000000,0.000000000,2.011068809,-0.000626491,-0.031764245,1.978720789,-0.003319780,-0.075133193,2.038113832,1.980149484,0.057964348,0.049959067,-0.001677739,0.051636806,-0.449498147,-0.037952303,-0.411545844,-0.145352769,0.094989415,1.343946266,121.502758700,10.304682306,0.000000000,1,1,1
15.300000000,post,3,0,0.016000000,-0.072000000,0.000000000,-0.007715851,-2.024397776,0.055765580,-0.036907742,-1.977512589,-0.005694321,2.019315720,1.977865174,0.041450546,nan,nan,nan,nan,nan,nan,nan,nan,0.687259104,nan,nan,0.090800518,0,0,0
15.300000000,post,3,1,0.016000000,-0.072000000,0.000000000,2.022165470,-2.011445397,-0.012891757,1.996497617,-1.990537866,-0.059035293,2.840336800,2.819881008,0.020455792,nan,nan,nan,nan,nan,nan,nan,nan,0.167375771,nan,nan,0.090800518,0,0,0
15.300000000,post,3,2,0.016000000,-0.072000000,0.000000000,2.011068809,-0.000626491,-0.031764245,1.946044017,0.064557027,-0.075133193,2.038113832,1.948563553,0.089550279,0.049959067,0.033161306,0.016797761,-0.449498147,-0.038567807,-0.410930340,-0.112675997,0.027112609,3.207701005,117.939559550,4.320327632,0.090800518,1,1,1
15.400000000,pre,3,0,0.036000000,-0.172000000,0.000000000,-0.007419050,-2.022691055,0.053685218,-0.017828544,-2.011657046,-0.010909348,1.985231161,2.011765627,-0.026534466,nan,nan,nan,nan,nan,nan,nan,nan,0.281631162,nan,nan,0.000000000,0,0,0
15.400000000,pre,3,1,0.036000000,-0.172000000,0.000000000,2.022404433,-2.010907917,-0.014003843,2.005644636,-1.972180090,-0.052566756,2.868988752,2.813337516,0.055651236,nan,nan,nan,nan,nan,nan,nan,nan,1.238824034,nan,nan,0.000000000,0,0,0
15.400000000,pre,3,2,0.036000000,-0.172000000,0.000000000,2.011103466,-0.000231540,-0.032161197,1.974775101,0.032380192,-0.052828253,2.040301800,1.975746948,0.064554852,0.049959067,0.016395432,0.033563635,-0.449498147,-0.026741557,-0.422756590,-0.139438914,0.059387853,1.666931566,125.940550025,7.567648416,0.000000000,1,1,1
15.400000000,post,3,0,0.036000000,-0.172000000,0.000000000,-0.007419050,-2.022691055,0.053685218,-0.018724451,-1.980486251,-0.010909348,1.985231161,1.980604809,0.004626352,nan,nan,nan,nan,nan,nan,nan,nan,0.008561253,nan,nan,0.015558737,0,0,0
