seq,raw_timestamp,effective_timestamp,stamp_shift,self_id,target_id,filtered_distance,latest_raw_distance,gt_distance_latest,window_size,window_span,window_lag,reject_count
2,3.700000,3.700000,0.000000,2,1,0.109631,0.109631,0.000000,1,0.000000,0.000000,0
2,3.700000,3.700000,0.000000,2,3,0.112765,0.112765,0.000000,1,0.000000,0.000000,0
6,3.860000,3.860000,0.000000,2,0,0.120738,0.120738,0.000000,1,0.000000,0.000000,0
8,3.940000,3.900000,-0.040000,2,0,0.143226,0.165713,0.000000,2,0.080000,0.040000,0
9,3.980000,3.840000,-0.140000,2,1,0.131705,0.153778,0.000000,2,0.280000,0.140000,0
16,4.260000,3.980000,-0.280000,2,1,0.130948,0.129435,0.000000,3,0.560000,0.280000,0
19,4.380000,4.060000,-0.320000,2,0,1.033929,2.815336,2.828427,3,0.520000,0.320000,0
19,4.380000,4.080000,-0.300000,2,1,0.624993,2.107129,2.000000,4,0.680000,0.300000,0
19,4.380000,4.040000,-0.340000,2,3,1.086551,2.060337,2.000000,2,0.680000,0.340000,0
20,4.420000,4.150000,-0.270000,2,0,1.454534,2.716347,2.828427,4,0.560000,0.270000,0
20,4.420000,4.148000,-0.272000,2,1,0.898123,1.990643,2.000000,5,0.720000,0.272000,0
20,4.420000,4.166667,-0.253333,2,3,1.341866,1.852496,2.000000,3,0.720000,0.253333,0
21,4.460000,4.212000,-0.248000,2,0,1.720818,2.785957,2.828427,5,0.600000,0.248000,0
21,4.460000,4.300000,-0.160000,2,1,1.268505,1.961542,2.000000,5,0.480000,0.160000,0
21,4.460000,4.240000,-0.220000,2,3,1.481484,1.900339,2.000000,4,0.760000,0.220000,0
22,4.500000,4.340000,-0.160000,2,0,2.265491,2.844099,2.828427,5,0.560000,0.160000,0
22,4.500000,4.404000,-0.096000,2,1,1.645876,2.040629,2.000000,5,0.240000,0.096000,0
22,4.500000,4.292000,-0.208000,2,3,1.590426,2.026196,2.000000,5,0.800000,0.208000,0
23,4.540000,4.460000,-0.080000,2,0,2.790291,2.789715,2.828427,5,0.160000,0.080000,0
23,4.540000,4.460000,-0.080000,2,1,2.029699,2.048549,2.000000,5,0.160000,0.080000,0
23,4.540000,4.460000,-0.080000,2,3,1.951146,1.916365,2.000000,5,0.160000,0.080000,0
24,4.580000,4.500000,-0.080000,2,0,2.787429,2.801027,2.828427,5,0.160000,0.080000,0
24,4.580000,4.500000,-0.080000,2,1,2.031692,2.117095,2.000000,5,0.160000,0.080000,0
24,4.580000,4.500000,-0.080000,2,3,1.959476,2.101984,2.000000,5,0.160000,0.080000,0
25,4.620000,4.540000,-0.080000,2,0,2.828165,2.920026,2.828427,5,0.160000,0.080000,0
25,4.620000,4.540000,-0.080000,2,1,2.029012,1.977245,2.000000,5,0.160000,0.080000,0
25,4.620000,4.540000,-0.080000,2,3,1.984514,1.977687,2.000000,5,0.160000,0.080000,0
26,4.660000,4.580000,-0.080000,2,0,2.850114,2.895703,2.828427,5,0.160000,0.080000,0
26,4.660000,4.580000,-0.080000,2,1,2.055530,2.094131,2.000000,5,0.160000,0.080000,0
